"time_point","method","risk_1","risk_0","RD","RR","se_RD","ci_lower","ci_upper"
90,"TMLE",0.00205,0.003239,-0.001189,0.633,0.002484,-0.006058,0.00368
90,"AIPW",0.002441,0.003753,-0.001311,0.6506,0.002487,-0.006186,0.003564
90,"IPTW",0.00152,0.00219,-0.00067,0.6942,0.000575,-0.001797,0.000457
90,"G-computation",0.000996,0.001747,-0.000751,0.5701,0,-0.000751,-0.000751
90,"Cox PH (standardized)",0.002247,0.001766,0.000481,1.2724,NA,NA,NA
180,"TMLE",0.004044,0.008304,-0.00426,0.487,0.009405,-0.022694,0.014174
180,"AIPW",0.011106,0.016593,-0.005487,0.6693,0.009411,-0.023932,0.012958
180,"IPTW",0.002843,0.006105,-0.003263,0.4656,0.000697,-0.004629,-0.001896
180,"G-computation",0.001562,0.002525,-0.000964,0.6184,0,-0.000964,-0.000964
180,"Cox PH (standardized)",0.006327,0.00503,0.001297,1.2579,NA,NA,NA
