"meeting_id","date_time","stage","model_component","decision","justification","triggered_by","outcome_blind_confirm","approver","protocol_version"
"MTG-20260302084932-5209","2026-03-02 08:49:32","stage1","Cohort","Cohort built and feasibility assessed","N = 106860 ; events = 220","pre-specified protocol",TRUE,"analyst",1
"MTG-20260302084958-1788","2026-03-02 08:49:58","stage2","PS","PS model fitted with SL.glm, SL.gam, SL.ranger, SL.mean","Pre-specified SL library from config","pre-specified",TRUE,"analyst",1
"MTG-20260302084958-1788","2026-03-02 08:49:58","stage2","PS","Truncation at [ 0.01 , 0.99 ] ; truncated: 0 lower, 0 upper","Pre-specified truncation bounds from config","pre-specified",TRUE,"analyst",1
"MTG-20260302084958-1788","2026-03-02 08:49:58","stage2","Balance","Max weighted SMD = 7e-04","Threshold = 0.25","SMD diagnostic",TRUE,"analyst",1
"MTG-20260302095835-9567","2026-03-02 09:58:35","stage3","Q","Outcome model fitted with SL library: SL.glm, SL.gam, SL.ranger, SL.glmnet, SL.mean","Pre-specified from config","pre-specified",TRUE,"analyst",1
"MTG-20260302095835-9567","2026-03-02 09:58:35","stage3","Estimator","Primary estimand: Risk difference at t = 90, 180 days (PH-free)","Pre-specified in TL-SAP","pre-specified",TRUE,"analyst",1
"MTG-20260302095835-9567","2026-03-02 09:58:35","stage3","Estimator","Secondary estimand: Cox PH hazard ratio (assumes PH)","Pre-specified in TL-SAP; PH test included as diagnostic","pre-specified",TRUE,"analyst",1
"MTG-20260302095835-3180","2026-03-02 09:58:35","stage4","Report","Final report compiled and locked","All stage checkpoints passed; artifacts compiled","stage completion",TRUE,"analyst",1
"MTG-20260302110105-1432","2026-03-02 11:01:05","outcome_blind_simulation","PS","SL library for g: SL.glm, SL.mean","Pre-specified in config; PS model convergence confirmed across scenarios","phase 1 PS diagnostics",TRUE,"analyst",1
"MTG-20260302110105-1432","2026-03-02 11:01:05","outcome_blind_simulation","Truncation","g bounds: [ 0.01 , 0.99 ]","Pre-specified; truncation counts acceptable across scenarios","phase 1 truncation diagnostics",TRUE,"analyst",1
"MTG-20260302110105-1432","2026-03-02 11:01:05","outcome_blind_simulation","Overlap","PS overlap and balance confirmed adequate across all scenarios","ESS and weighted SMD within thresholds; no near-positivity violations detected","phase 1 PS overlap assessment",TRUE,"analyst",1
"MTG-20260302110105-1432","2026-03-02 11:01:05","outcome_blind_simulation","Estimator","Pre-specified estimators for unblinded analysis: TMLE, TMLE-CF, AIPW, IPTW, G-comp, Cox PH","All estimators pre-specified; PS feasibility confirmed outcome-blind","phase 1 PS feasibility assessment",TRUE,"analyst",1
"MTG-20260302120513-8858","2026-03-02 12:05:13","outcome_blind_simulation","PS","SL library for g: SL.glm, SL.mean","Pre-specified in config; PS model convergence confirmed across scenarios","phase 1 PS diagnostics",TRUE,"analyst",1
"MTG-20260302120513-8858","2026-03-02 12:05:13","outcome_blind_simulation","Truncation","g bounds: [ 0.01 , 0.99 ]","Pre-specified; truncation counts acceptable across scenarios","phase 1 truncation diagnostics",TRUE,"analyst",1
"MTG-20260302120513-8858","2026-03-02 12:05:13","outcome_blind_simulation","Overlap","PS overlap and balance confirmed adequate across all scenarios","ESS and weighted SMD within thresholds; no near-positivity violations detected","phase 1 PS overlap assessment",TRUE,"analyst",1
"MTG-20260302120513-8858","2026-03-02 12:05:13","outcome_blind_simulation","Estimator","Pre-specified estimators for unblinded analysis: TMLE, TMLE-CF, AIPW, IPTW, G-comp, Cox PH","All estimators pre-specified; PS feasibility confirmed outcome-blind","phase 1 PS feasibility assessment",TRUE,"analyst",1
"MTG-20260302122038-8858","2026-03-02 12:20:38","outcome_blind_simulation","PS","SL library for g: SL.glm, SL.mean","Pre-specified in config; PS model convergence confirmed across scenarios","phase 1 PS diagnostics",TRUE,"analyst",1
"MTG-20260302122038-8858","2026-03-02 12:20:38","outcome_blind_simulation","Truncation","g bounds: [ 0.01 , 0.99 ]","Pre-specified; truncation counts acceptable across scenarios","phase 1 truncation diagnostics",TRUE,"analyst",1
"MTG-20260302122038-8858","2026-03-02 12:20:38","outcome_blind_simulation","Overlap","PS overlap and balance confirmed adequate across all scenarios","ESS and weighted SMD within thresholds; no near-positivity violations detected","phase 1 PS overlap assessment",TRUE,"analyst",1
"MTG-20260302122038-8858","2026-03-02 12:20:38","outcome_blind_simulation","Estimator","Pre-specified estimators for unblinded analysis: TMLE, TMLE-CF, AIPW, IPTW, G-comp, Cox PH","All estimators pre-specified; PS feasibility confirmed outcome-blind","phase 1 PS feasibility assessment",TRUE,"analyst",1
"MTG-20260302123539-5563","2026-03-02 12:35:39","unblinded_simulation","Simulation","Unblinded simulation completed: 10 replicates x 5 scenarios x 2 time points","Pre-specified simulation protocol","phase 2 execution",FALSE,"analyst",1
"MTG-20260303065415-4877","2026-03-03 06:54:15","stage1","Cohort","Cohort built and feasibility assessed","N = 4268 ; events = 12","pre-specified protocol",TRUE,"analyst",1
