"method","n","estimate","se","ci_lo","ci_hi"
"PS-matched logistic regression",939,0.0303,0.0175,-0.0057,0.0615
"PS-matched TMLE",939,0.0318,0.0182,-0.0039,0.0676
"Full-cohort TMLE",1277,0.0302,0.0163,-0.0017,0.0621
"IPCW-weighted TMLE (full cohort)",1277,0.0332,0.0179,5e-04,0.062
