"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"overlap_ok","Crude",63,63,63,0.156273,0.163256,0.047616,0.04587,0.0794,0.0341
"overlap_ok","Adj. Regression (analytic)",63,63,63,0.01795,0.061594,0.059394,0.055772,0.8889,0.0396
"overlap_ok","IPTW (analytic)",63,63,63,0.005765,0.065663,0.065935,0.074678,0.9524,0.0268
"overlap_ok","PS-Matched (pairs boot)",63,63,63,0.015127,0.066714,0.065498,0.061666,0.9206,0.0341
"overlap_ok","TMLE-GLM (IC)",63,63,63,-9.9e-05,0.068265,0.068813,0.068695,0.9365,0.0307
"overlap_ok","TMLE-ML (IC)",63,63,63,0.006077,0.068118,0.068392,0.05949,0.8571,0.0441
"overlap_ok","TMLE-ML (NP boot pctl)",63,63,0,0.006077,0.068118,0.068392,NA,NA,NA
"overlap_ok","TMLE-ML (NP boot norm)",63,63,0,0.006077,0.068118,0.068392,NA,NA,NA
"overlap_ok","TMLE-ML (mult.boot)",63,63,63,0.006077,0.068118,0.068392,0.059138,0.8571,0.0441
"overlap_ok","CV-TMLE-ML (IC)",63,63,63,0.009982,0.071214,0.071077,0.082924,0.9365,0.0307
"overlap_ok","CV-TMLE-ML (mult.boot)",63,63,63,0.009982,0.071214,0.071077,0.082469,0.9206,0.0341
