"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"all","Crude",50,50,50,0.168457,0.178614,0.059976,0.062651,0.24,0.0604
"all","Adj. Regression",50,50,50,-0.000198,0.083604,0.084452,0.002055,0.02,0.0198
"all","IPTW",50,50,50,0.025351,0.178769,0.178759,0.123223,0.78,0.0586
"all","PS-Matched",50,50,50,-0.016298,0.106848,0.10667,0.117589,0.96,0.0277
"all","TMLE-GLM (IC)",50,50,50,-0.022991,0.183653,0.184058,0.106174,0.72,0.0635
"all","TMLE-GLM (mult.boot)",50,50,50,-0.022991,0.183653,0.184058,0.105629,0.74,0.062
"all","TMLE-ML (IC)",50,50,50,-0.005343,0.15145,0.152892,0.085169,0.76,0.0604
"all","TMLE-ML (mult.boot)",50,50,50,-0.005343,0.15145,0.152892,0.084651,0.68,0.066
"all","CV-TMLE-ML (IC)",50,50,50,0.037102,0.142828,0.139326,0.079325,0.66,0.067
"all","CV-TMLE-ML (mult.boot)",50,50,50,0.037102,0.142828,0.139326,0.079622,0.66,0.067
"overlap_ok","Crude",10,10,10,0.161104,0.168434,0.051806,0.06283,0.4,0.1549
"overlap_ok","Adj. Regression",10,10,10,-0.005321,0.093791,0.098705,0.002141,0,0
"overlap_ok","IPTW",10,10,10,0.043265,0.123471,0.121898,0.099354,0.8,0.1265
"overlap_ok","PS-Matched",10,10,10,-0.004306,0.097418,0.102588,0.092839,0.9,0.0949
"overlap_ok","TMLE-GLM (IC)",10,10,10,-0.005315,0.129651,0.13655,0.08867,0.8,0.1265
"overlap_ok","TMLE-GLM (mult.boot)",10,10,10,-0.005315,0.129651,0.13655,0.089136,0.8,0.1265
"overlap_ok","TMLE-ML (IC)",10,10,10,0.008309,0.124593,0.13104,0.074769,0.7,0.1449
"overlap_ok","TMLE-ML (mult.boot)",10,10,10,0.008309,0.124593,0.13104,0.074775,0.7,0.1449
"overlap_ok","CV-TMLE-ML (IC)",10,10,10,0.033678,0.120577,0.122041,0.088276,0.7,0.1449
"overlap_ok","CV-TMLE-ML (mult.boot)",10,10,10,0.033678,0.120577,0.122041,0.089537,0.8,0.1265
"overlap_bad","Crude",40,40,40,0.170295,0.181069,0.062312,0.062606,0.2,0.0632
"overlap_bad","Adj. Regression",40,40,40,0.001082,0.080857,0.081879,0.002033,0.025,0.0247
"overlap_bad","IPTW",40,40,40,0.020872,0.190097,0.191355,0.129191,0.775,0.066
"overlap_bad","PS-Matched",40,40,40,-0.019296,0.109078,0.108726,0.123777,0.975,0.0247
"overlap_bad","TMLE-GLM (IC)",40,40,40,-0.027409,0.194829,0.195348,0.11055,0.7,0.0725
"overlap_bad","TMLE-GLM (mult.boot)",40,40,40,-0.027409,0.194829,0.195348,0.109753,0.725,0.0706
"overlap_bad","TMLE-ML (IC)",40,40,40,-0.008756,0.15745,0.159209,0.087769,0.775,0.066
"overlap_bad","TMLE-ML (mult.boot)",40,40,40,-0.008756,0.15745,0.159209,0.08712,0.675,0.0741
"overlap_bad","CV-TMLE-ML (IC)",40,40,40,0.037958,0.147869,0.144735,0.077087,0.65,0.0754
"overlap_bad","CV-TMLE-ML (mult.boot)",40,40,40,0.037958,0.147869,0.144735,0.077144,0.625,0.0765
