"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"overlap_bad","Crude",40,40,40,0.069546,0.092455,0.061695,0.064342,0.775,0.066
"overlap_bad","Adj. Regression",40,40,40,-0.011447,0.079347,0.079517,0.001681,0,0
"overlap_bad","IPTW",40,40,40,-0.024212,0.179778,0.18041,0.124145,0.8,0.0632
"overlap_bad","PS-Matched",40,40,40,-0.024767,0.106296,0.104687,0.120483,0.925,0.0416
"overlap_bad","TMLE-GLM (IC)",40,40,40,-0.045948,0.194103,0.190989,0.116626,0.775,0.066
"overlap_bad","TMLE-GLM (mult.boot)",40,40,40,-0.045948,0.194103,0.190989,0.115385,0.75,0.0685
"overlap_bad","TMLE-ML (IC)",40,40,40,-0.02894,0.147564,0.146541,0.092836,0.825,0.0601
"overlap_bad","TMLE-ML (mult.boot)",40,40,40,-0.02894,0.147564,0.146541,0.093811,0.8,0.0632
"overlap_bad","CV-TMLE-ML (IC)",40,40,40,-0.013085,0.140699,0.141874,0.080022,0.625,0.0765
"overlap_bad","CV-TMLE-ML (mult.boot)",40,40,40,-0.013085,0.140699,0.141874,0.079694,0.575,0.0782
