"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"overlap_ok","Crude",10,10,10,0.056594,0.08043,0.060241,0.064721,0.9,0.0949
"overlap_ok","Adj. Regression",10,10,10,-0.015396,0.062842,0.064222,0.0017,0.1,0.0949
"overlap_ok","IPTW",10,10,10,0.007815,0.109209,0.114821,0.098636,0.9,0.0949
"overlap_ok","PS-Matched",10,10,10,-0.015851,0.079003,0.081583,0.096275,0.9,0.0949
"overlap_ok","TMLE-GLM (IC)",10,10,10,-0.01712,0.116369,0.121329,0.092905,0.9,0.0949
"overlap_ok","TMLE-GLM (mult.boot)",10,10,10,-0.01712,0.116369,0.121329,0.093392,0.9,0.0949
"overlap_ok","TMLE-ML (IC)",10,10,10,-0.005786,0.097391,0.102478,0.078521,0.9,0.0949
"overlap_ok","TMLE-ML (mult.boot)",10,10,10,-0.005786,0.097391,0.102478,0.076851,0.8,0.1265
"overlap_ok","CV-TMLE-ML (IC)",10,10,10,0.007831,0.107645,0.113168,0.086145,0.8,0.1265
"overlap_ok","CV-TMLE-ML (mult.boot)",10,10,10,0.007831,0.107645,0.113168,0.088274,0.8,0.1265
