"contrast","confounding","modification","complexity","estimand","estimator","truth_mean","bias","rmse","coverage","emp_sd","mean_se","se_cal","n_converged","pass"
"C1",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,-6e-04,0.01259,0.87,0.01261,0.0122,0.968,200,FALSE
"C1",0,0,"linear","ATT","DR one-step ATT",0.02,0.00055,0.00732,0.955,0.00731,0.00749,1.025,200,TRUE
"C1",0,0,"linear","ATO","augmented overlap weights",0.02,0.00026,0.00739,0.96,0.0074,0.00735,0.993,200,TRUE
"C1",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,-0.00014,0.00873,0.95,0.00875,0.00892,1.019,200,TRUE
"C1",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,0.00034,0.00867,0.95,0.00868,0.00868,1,200,TRUE
"C1",1,0,"linear","ATE","TMLE (GLM nuisances)",0.02,0.00307,0.01016,0.955,0.00971,0.01024,1.055,200,TRUE
"C1",1,0,"linear","ATT","DR one-step ATT",0.02,0.00547,0.01145,0.915,0.01009,0.00974,0.966,200,TRUE
"C1",1,0,"linear","ATO","augmented overlap weights",0.02,0.00428,0.00996,0.935,0.00901,0.00868,0.964,200,TRUE
"C1",1,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.0034,0.00984,0.95,0.00925,0.00929,1.004,200,TRUE
"C1",1,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,0.00451,0.01181,0.935,0.01094,0.0108,0.988,200,TRUE
"C1",2,0,"linear","ATE","TMLE (GLM nuisances)",0.0199,0.0054,0.01063,0.96,0.00918,0.00909,0.99,200,TRUE
"C1",2,0,"linear","ATT","DR one-step ATT",0.01999,0.01204,0.01668,0.81,0.01157,0.01081,0.934,200,FALSE
"C1",2,0,"linear","ATO","augmented overlap weights",0.01999,0.00916,0.0132,0.835,0.00952,0.00912,0.958,200,FALSE
"C1",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.0071,0.01193,0.915,0.00961,0.00884,0.92,200,TRUE
"C1",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.01999,0.0101,0.01489,0.88,0.01097,0.01176,1.072,200,FALSE
"C1",0,1,"linear","ATE","TMLE (GLM nuisances)",0.02001,0.00123,0.01052,0.925,0.01047,0.00993,0.948,200,TRUE
"C1",0,1,"linear","ATT","DR one-step ATT",0.03843,-0.00081,0.00908,0.93,0.00907,0.00841,0.928,200,TRUE
"C1",0,1,"linear","ATO","augmented overlap weights",0.03518,-1e-05,0.00872,0.91,0.00874,0.00807,0.923,200,TRUE
"C1",0,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.03384,-6e-04,0.01042,0.89,0.01043,0.00938,0.899,200,FALSE
"C1",0,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.03771,-0.00134,0.01019,0.925,0.01012,0.00953,0.941,200,TRUE
"C1",1,1,"linear","ATE","TMLE (GLM nuisances)",0.02106,0.00649,0.01075,0.93,0.00859,0.00828,0.964,200,TRUE
"C1",1,1,"linear","ATT","DR one-step ATT",0.03859,0.00672,0.01186,0.92,0.00979,0.0106,1.082,200,TRUE
"C1",1,1,"linear","ATO","augmented overlap weights",0.03527,0.00638,0.01094,0.905,0.0089,0.00939,1.055,200,TRUE
"C1",1,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.03385,0.00484,0.01053,0.96,0.00938,0.00991,1.057,200,TRUE
"C1",1,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.03787,0.00623,0.01274,0.93,0.01114,0.0116,1.041,200,TRUE
"C1",2,1,"linear","ATE","TMLE (GLM nuisances)",0.02161,0.00789,0.01059,0.91,0.00708,0.00752,1.062,200,TRUE
"C1",2,1,"linear","ATT","DR one-step ATT",0.0386,0.01214,0.01608,0.83,0.01057,0.01124,1.063,200,FALSE
"C1",2,1,"linear","ATO","augmented overlap weights",0.03535,0.0098,0.01311,0.85,0.00873,0.00956,1.095,200,FALSE
"C1",2,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.03384,0.00671,0.01047,0.925,0.00806,0.00917,1.139,200,TRUE
"C1",2,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.03792,0.00961,0.01479,0.89,0.01128,0.01221,1.083,200,FALSE
"C2",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,-0.00061,0.01324,0.87,0.01326,0.01278,0.964,200,FALSE
"C2",0,0,"linear","ATT","DR one-step ATT",0.02,-0.00014,0.00864,0.93,0.00866,0.00787,0.909,200,TRUE
"C2",0,0,"linear","ATO","augmented overlap weights",0.02,-3e-05,0.00833,0.925,0.00835,0.00758,0.909,200,TRUE
"C2",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.00063,0.01003,0.915,0.01003,0.00934,0.931,200,TRUE
"C2",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,-0.00046,0.00941,0.94,0.00942,0.00887,0.941,200,TRUE
"C2",1,0,"linear","ATE","TMLE (GLM nuisances)",0.02,0.00197,0.01238,0.92,0.01225,0.0104,0.849,200,TRUE
"C2",1,0,"linear","ATT","DR one-step ATT",0.02,0.00509,0.01212,0.925,0.01103,0.01105,1.003,200,TRUE
"C2",1,0,"linear","ATO","augmented overlap weights",0.02,0.00397,0.00941,0.935,0.00855,0.00891,1.041,200,TRUE
"C2",1,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.00302,0.00966,0.95,0.0092,0.00943,1.026,200,TRUE
