"contrast","label","outcome","family","used_ipcw","estimand","estimand_label","is_primary","estimate","se","ci_lower","ci_upper","p_value","n","risk_treated","risk_control","support_verdict","support_caveat","crude_diff","implausible","implausible_reason"
"C1","Rescue.Co vs everyone else (protocol comparator)","death_by_6mo","binomial",TRUE,"ATE","ATE (IPCW via Delta for missing outcomes)",TRUE,0.00555,0.01163,-0.01724,0.02835,0.63302,8323,0.03455,0.029,"SEVERE","SEVERE positivity violation: a large share of the sample has little or no counterpart in the other arm, so this estimate relies on extrapolation. Report only alongside the common-support estimate for the same contrast.",0.00166,FALSE,NA
"C1","Rescue.Co vs everyone else (protocol comparator)","death_by_6mo","binomial",TRUE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,0.00596,0.00636,-0.0065,0.01842,0.34866,4946,NA,NA,"PASS","Overlap adequate.",0.0019,FALSE,NA
"C1","Rescue.Co vs everyone else (protocol comparator)","death_by_6mo","binomial",TRUE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,-0.00504,0.00645,-0.01768,0.0076,0.43446,6557,NA,NA,"PASS","Overlap adequate.",0.00166,FALSE,NA
"C1","Rescue.Co vs everyone else (protocol comparator)","death_by_6mo","binomial",TRUE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,0.00041,0.00587,-0.01109,0.0119,0.94473,6557,0.02987,0.02946,"PASS","Overlap adequate.",0.00166,FALSE,NA
"C1","Rescue.Co vs everyone else (protocol comparator)","time_to_arrival_minutes","gaussian",FALSE,"ATE","ATE (complete case)",TRUE,-183.47695,110.68003,-400.40582,33.45192,0.09737,8323,358.69528,542.17222,"SEVERE","SEVERE positivity violation: a large share of the sample has little or no counterpart in the other arm, so this estimate relies on extrapolation. Report only alongside the common-support estimate for the same contrast.",-425.10956,FALSE,NA
"C1","Rescue.Co vs everyone else (protocol comparator)","time_to_arrival_minutes","gaussian",FALSE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,-270.37721,21.93976,-313.37836,-227.37607,0,4946,NA,NA,"PASS","Overlap adequate.",-281.84723,FALSE,NA
"C1","Rescue.Co vs everyone else (protocol comparator)","time_to_arrival_minutes","gaussian",FALSE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,-219.01674,25.0235,-268.06279,-169.97068,0,8142,NA,NA,"PASS","Overlap adequate.",-425.10956,FALSE,NA
"C1","Rescue.Co vs everyone else (protocol comparator)","time_to_arrival_minutes","gaussian",FALSE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,-198.79253,28.82397,-255.28751,-142.29754,0,8142,175.19494,373.98747,"PASS","Overlap adequate.",-425.10956,FALSE,NA
"C2","Rescue.Co vs non-ambulance","death_by_6mo","binomial",TRUE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,0.00325,0.00572,-0.00796,0.01446,0.57003,4327,NA,NA,"PASS","Overlap adequate.",0.0055,FALSE,NA
"C2","Rescue.Co vs non-ambulance","death_by_6mo","binomial",TRUE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,0.00078,0.00758,-0.01408,0.01563,0.91834,5632,NA,NA,"PASS","Overlap adequate.",0.01222,FALSE,NA
