"contrast","label","outcome","family","used_ipcw","estimand","estimand_label","is_primary","estimate","se","ci_lower","ci_upper","p_value","n","risk_treated","risk_control","support_verdict","support_caveat","crude_diff","implausible","implausible_reason"
"C2","Rescue.Co vs non-ambulance","death_by_6mo","binomial",TRUE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,0.00511,0.00577,-0.00621,0.01643,0.37633,5632,0.02687,0.02176,"PASS","Overlap adequate.",0.01222,FALSE,NA
"C2","Rescue.Co vs non-ambulance","time_to_arrival_minutes","gaussian",FALSE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,-278.76647,34.67114,-346.72066,-210.81229,0,4327,NA,NA,"PASS","Overlap adequate.",-312.46523,FALSE,NA
"C2","Rescue.Co vs non-ambulance","time_to_arrival_minutes","gaussian",FALSE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,-272.38809,28.80122,-328.83849,-215.93769,0,7013,NA,NA,"PASS","Overlap adequate.",-435.89419,FALSE,NA
"C2","Rescue.Co vs non-ambulance","time_to_arrival_minutes","gaussian",FALSE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,-250.10191,33.34804,-315.46408,-184.73975,0,7013,171.27378,421.37569,"PASS","Overlap adequate.",-435.89419,FALSE,NA
"C3","Any ambulance vs non-ambulance","death_by_6mo","binomial",TRUE,"ATE","ATE (IPCW via Delta for missing outcomes)",TRUE,0.01785,0.00508,0.00789,0.02781,0.00044,8323,0.04096,0.02312,"FLAG","Mild positivity violation; interpret with the usual caution.",0.04138,FALSE,NA
"C3","Any ambulance vs non-ambulance","death_by_6mo","binomial",TRUE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,0.01855,0.0053,0.00816,0.02895,0.00047,8009,NA,NA,"PASS","Overlap adequate.",0.03022,FALSE,NA
"C3","Any ambulance vs non-ambulance","death_by_6mo","binomial",TRUE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,0.0195,0.00698,0.00581,0.03319,0.00524,6557,NA,NA,"PASS","Overlap adequate.",0.04138,FALSE,NA
"C3","Any ambulance vs non-ambulance","death_by_6mo","binomial",TRUE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,0.01685,0.00478,0.00749,0.02621,0.00042,6557,0.04097,0.02412,"PASS","Overlap adequate.",0.04138,FALSE,NA
"C3","Any ambulance vs non-ambulance","time_to_arrival_minutes","gaussian",FALSE,"ATE","ATE (complete case)",TRUE,-244.77181,38.62327,-320.47204,-169.07159,0,8323,345.3226,590.09442,"FLAG","Mild positivity violation; interpret with the usual caution.",-243.22633,FALSE,NA
"C3","Any ambulance vs non-ambulance","time_to_arrival_minutes","gaussian",FALSE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,-242.05969,35.80104,-312.22843,-171.89095,0,8009,NA,NA,"PASS","Overlap adequate.",-243.39246,FALSE,NA
"C3","Any ambulance vs non-ambulance","time_to_arrival_minutes","gaussian",FALSE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,-295.79649,43.76653,-381.57888,-210.01409,0,8142,NA,NA,"PASS","Overlap adequate.",-243.22633,FALSE,NA
"C3","Any ambulance vs non-ambulance","time_to_arrival_minutes","gaussian",FALSE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,-248.16471,34.94228,-316.65157,-179.67784,0,8142,341.49111,589.65582,"PASS","Overlap adequate.",-243.22633,FALSE,NA
"C4","Rescue.Co vs other ambulance (transfers included)","death_by_6mo","binomial",TRUE,"ATE","ATE (IPCW via Delta for missing outcomes)",TRUE,-0.02903,0.01,-0.04863,-0.00943,0.0037,2197,0.03509,0.06412,"FLAG","Mild positivity violation; interpret with the usual caution.",-0.05372,FALSE,NA
"C4","Rescue.Co vs other ambulance (transfers included)","death_by_6mo","binomial",TRUE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,-0.02098,0.00974,-0.04007,-0.0019,0.03116,2098,NA,NA,"PASS","Overlap adequate.",-0.03358,FALSE,NA
"C4","Rescue.Co vs other ambulance (transfers included)","death_by_6mo","binomial",TRUE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,-0.01892,0.00886,-0.03629,-0.00156,0.03272,1704,NA,NA,"PASS","Overlap adequate.",-0.05372,FALSE,NA
"C4","Rescue.Co vs other ambulance (transfers included)","death_by_6mo","binomial",TRUE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,-0.00775,0.00859,-0.02459,0.00908,0.36679,1704,0.04167,0.04943,"PASS","Overlap adequate.",-0.05372,FALSE,NA
"C4","Rescue.Co vs other ambulance (transfers included)","time_to_arrival_minutes","gaussian",FALSE,"ATE","ATE (complete case)",TRUE,-204.67657,40.493,-284.04138,-125.31175,0,2197,167.80976,372.48632,"FLAG","Mild positivity violation; interpret with the usual caution.",-367.92906,FALSE,NA
"C4","Rescue.Co vs other ambulance (transfers included)","time_to_arrival_minutes","gaussian",FALSE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,-134.29898,44.04701,-220.62953,-47.96844,0.0023,2098,NA,NA,"PASS","Overlap adequate.",-249.18266,FALSE,NA
"C4","Rescue.Co vs other ambulance (transfers included)","time_to_arrival_minutes","gaussian",FALSE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,-99.70953,30.21109,-158.92326,-40.4958,0.00097,2156,NA,NA,"PASS","Overlap adequate.",-367.92906,FALSE,NA
"C4","Rescue.Co vs other ambulance (transfers included)","time_to_arrival_minutes","gaussian",FALSE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,-89.74535,38.8261,-165.8445,-13.64619,0.02081,2156,193.15939,282.90474,"PASS","Overlap adequate.",-367.92906,FALSE,NA
"PRIMARY","Rescue.Co vs other ambulance, transfers and prior care excluded","death_by_6mo","binomial",TRUE,"ATE","ATE (IPCW via Delta for missing outcomes)",TRUE,-0.017,0.00933,-0.03529,0.00128,0.06842,1616,0.02895,0.04595,"PASS","Overlap adequate.",-0.02351,FALSE,NA
"PRIMARY","Rescue.Co vs other ambulance, transfers and prior care excluded","death_by_6mo","binomial",TRUE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,-0.01717,0.00921,-0.03522,0.00088,0.06221,1615,NA,NA,"PASS","Overlap adequate.",-0.01919,FALSE,NA
"PRIMARY","Rescue.Co vs other ambulance, transfers and prior care excluded","death_by_6mo","binomial",TRUE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,-0.02838,0.01007,-0.04812,-0.00864,0.00483,1227,NA,NA,"PASS","Overlap adequate.",-0.02351,FALSE,NA
"PRIMARY","Rescue.Co vs other ambulance, transfers and prior care excluded","death_by_6mo","binomial",TRUE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,-0.01226,0.00897,-0.02985,0.00533,0.1718,1227,0.03121,0.04347,"PASS","Overlap adequate.",-0.02351,FALSE,NA
"PRIMARY","Rescue.Co vs other ambulance, transfers and prior care excluded","time_to_arrival_minutes","gaussian",FALSE,"ATE","ATE (complete case)",TRUE,-0.07549,16.09948,-31.62989,31.47891,0.99626,1616,133.09387,133.16936,"PASS","Overlap adequate.",-5.43626,FALSE,NA
"PRIMARY","Rescue.Co vs other ambulance, transfers and prior care excluded","time_to_arrival_minutes","gaussian",FALSE,"trimmed_ATE","ATE on the common-support population, trimmed g in [0.05, 0.95]",FALSE,-2.82245,16.09836,-34.37467,28.72976,0.86082,1615,NA,NA,"PASS","Overlap adequate.",-5.38562,FALSE,NA
"PRIMARY","Rescue.Co vs other ambulance, transfers and prior care excluded","time_to_arrival_minutes","gaussian",FALSE,"ATT","E[Y(1)-Y(0) | A=1, outcome observed]",FALSE,-4.01617,15.86664,-35.1148,27.08245,0.80018,1594,NA,NA,"PASS","Overlap adequate.",-5.43626,FALSE,NA
"PRIMARY","Rescue.Co vs other ambulance, transfers and prior care excluded","time_to_arrival_minutes","gaussian",FALSE,"ATO","ATO (overlap-weighted average treatment effect), outcome-observed rows",FALSE,2.64245,18.87544,-34.3534,39.63831,0.88866,1594,135.39385,132.7514,"PASS","Overlap adequate.",-5.43626,FALSE,NA
