"contrast","cohort","negative_control","n","estimate","ci_lower","ci_upper","p_value","flagged","status","method"
"C4","full cohort","nc_household_urban",2197,0.06757,0.04868,0.08647,0,TRUE,"estimated","unadjusted"
"C4","full cohort","nc_cooking_fuel_wood_charcoal",2197,-0.05155,-0.07382,-0.02929,1e-05,TRUE,"estimated","unadjusted"
"C4","full cohort","nc_chronic_hypertension",2197,0.00756,-0.00403,0.01914,0.20116,FALSE,"estimated","unadjusted"
"C4","full cohort","nc_diabetes_insulin",2197,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"C4","full cohort","nc_hiv_art",2197,0.00059,-0.0056,0.00678,0.85097,FALSE,"estimated","unadjusted"
"C4","transfers excluded","nc_household_urban",1703,0.00095,-0.01394,0.01583,0.90089,FALSE,"estimated","unadjusted"
"C4","transfers excluded","nc_cooking_fuel_wood_charcoal",1703,0.00015,-0.02138,0.02167,0.9894,FALSE,"estimated","unadjusted"
"C4","transfers excluded","nc_chronic_hypertension",1703,0.00775,-0.00548,0.02098,0.25095,FALSE,"estimated","unadjusted"
"C4","transfers excluded","nc_diabetes_insulin",1703,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"C4","transfers excluded","nc_hiv_art",1703,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"C4","transfers and prior care excluded","nc_household_urban",1616,-0.00272,-0.01754,0.0121,0.71889,FALSE,"estimated","unadjusted"
"C4","transfers and prior care excluded","nc_cooking_fuel_wood_charcoal",1616,-0.00099,-0.0236,0.02161,0.93144,FALSE,"estimated","unadjusted"
"C4","transfers and prior care excluded","nc_chronic_hypertension",1616,0.00925,-0.00417,0.02267,0.1769,FALSE,"estimated","unadjusted"
"C4","transfers and prior care excluded","nc_diabetes_insulin",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"C4","transfers and prior care excluded","nc_hiv_art",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"PRIMARY","full cohort","nc_household_urban",1616,-0.00272,-0.01754,0.0121,0.71889,FALSE,"estimated","unadjusted"
"PRIMARY","full cohort","nc_cooking_fuel_wood_charcoal",1616,-0.00099,-0.0236,0.02161,0.93144,FALSE,"estimated","unadjusted"
"PRIMARY","full cohort","nc_chronic_hypertension",1616,0.00925,-0.00417,0.02267,0.1769,FALSE,"estimated","unadjusted"
"PRIMARY","full cohort","nc_diabetes_insulin",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"PRIMARY","full cohort","nc_hiv_art",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"C1","full cohort","nc_household_urban",8323,0.01342,0.00332,0.02352,0.0092,TRUE,"estimated","unadjusted"
"C1","full cohort","nc_cooking_fuel_wood_charcoal",8323,-0.00555,-0.02019,0.00909,0.45763,FALSE,"estimated","unadjusted"
"C1","full cohort","nc_chronic_hypertension",8323,0.00676,-0.00282,0.01635,0.16683,FALSE,"estimated","unadjusted"
"C1","full cohort","nc_diabetes_insulin",8323,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"C1","full cohort","nc_hiv_art",8323,-0.00054,-0.00549,0.00441,0.83068,FALSE,"estimated","unadjusted"
"C2","full cohort","nc_household_urban",7165,0.00318,-0.00679,0.01316,0.53174,FALSE,"estimated","unadjusted"
"C2","full cohort","nc_cooking_fuel_wood_charcoal",7165,0.00315,-0.01152,0.01781,0.67395,FALSE,"estimated","unadjusted"
"C2","full cohort","nc_chronic_hypertension",7165,0.00661,-0.00306,0.01629,0.1804,FALSE,"estimated","unadjusted"
"C2","full cohort","nc_diabetes_insulin",7165,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"C2","full cohort","nc_hiv_art",7165,-0.00075,-0.00578,0.00427,0.76866,FALSE,"estimated","unadjusted"
"C3","full cohort","nc_household_urban",8323,-0.03244,-0.04305,-0.02182,0,TRUE,"estimated","unadjusted"
"C3","full cohort","nc_cooking_fuel_wood_charcoal",8323,0.03032,0.01773,0.04291,0,TRUE,"estimated","unadjusted"
"C3","full cohort","nc_chronic_hypertension",8323,0.00263,-0.00392,0.00918,0.4316,FALSE,"estimated","unadjusted"
"C3","full cohort","nc_diabetes_insulin",8323,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","unadjusted"
"C3","full cohort","nc_hiv_art",8323,-0.00107,-0.00475,0.00262,0.56998,FALSE,"estimated","unadjusted"
