"contrast","cohort","negative_control","n","estimate","ci_lower","ci_upper","p_value","flagged","status","method","caveat"
"C4","full cohort","nc_chronic_hypertension",2197,2e-05,-0.00013,0.00018,0.77068,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","full cohort","nc_diabetes_insulin",2197,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","full cohort","nc_hiv_art",2197,-0.00124,-0.00427,0.00179,0.42226,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers excluded","nc_household_urban",1703,0.0021,-0.01286,0.01706,0.78328,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers excluded","nc_cooking_fuel_wood_charcoal",1703,-0.03044,-0.03887,-0.02201,0,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers excluded","nc_chronic_hypertension",1703,3e-05,-9e-05,0.00015,0.64167,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers excluded","nc_diabetes_insulin",1703,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers excluded","nc_hiv_art",1703,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers and prior care excluded","nc_household_urban",1616,0.00087,-0.01524,0.01698,0.91605,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers and prior care excluded","nc_cooking_fuel_wood_charcoal",1616,-0.01792,-0.02405,-0.01178,0,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers and prior care excluded","nc_chronic_hypertension",1616,1e-05,-0.00012,0.00013,0.93096,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers and prior care excluded","nc_diabetes_insulin",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","transfers and prior care excluded","nc_hiv_art",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","full cohort","nc_household_urban",1616,0.00087,-0.01524,0.01698,0.91605,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","full cohort","nc_cooking_fuel_wood_charcoal",1616,-0.01792,-0.02405,-0.01178,0,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","full cohort","nc_chronic_hypertension",1616,1e-05,-0.00012,0.00013,0.93096,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","full cohort","nc_diabetes_insulin",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","full cohort","nc_hiv_art",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","(already restricted)","nc_household_urban",1616,0.00087,-0.01524,0.01698,0.91605,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","(already restricted)","nc_cooking_fuel_wood_charcoal",1616,-0.01792,-0.02405,-0.01178,0,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","(already restricted)","nc_chronic_hypertension",1616,1e-05,-0.00012,0.00013,0.93096,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","(already restricted)","nc_diabetes_insulin",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"PRIMARY","(already restricted)","nc_hiv_art",1616,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
