"contrast","cohort","negative_control","n","estimate","ci_lower","ci_upper","p_value","flagged","status","method","caveat"
"C1","full cohort","nc_household_urban",8323,0.01474,0.00604,0.02343,9e-04,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C1","full cohort","nc_cooking_fuel_wood_charcoal",8323,-0.01008,-0.01576,-0.0044,5e-04,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C1","full cohort","nc_chronic_hypertension",8323,8e-05,-5e-05,0.00021,0.22151,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C1","full cohort","nc_diabetes_insulin",8323,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C1","full cohort","nc_hiv_art",8323,-0.00149,-0.00374,0.00076,0.1956,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C2","full cohort","nc_household_urban",7165,0.01105,0.00335,0.01875,0.0049,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C2","full cohort","nc_cooking_fuel_wood_charcoal",7165,-0.0073,-0.0121,-0.00249,0.00291,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C2","full cohort","nc_chronic_hypertension",7165,7e-05,-7e-05,0.00021,0.34544,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C2","full cohort","nc_diabetes_insulin",7165,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C2","full cohort","nc_hiv_art",7165,-0.00263,-0.00535,9e-05,0.05814,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C3","full cohort","nc_household_urban",8323,-0.01535,-0.02859,-0.00211,0.02308,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C3","full cohort","nc_cooking_fuel_wood_charcoal",8323,0.00295,-0.00627,0.01218,0.53047,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C3","full cohort","nc_chronic_hypertension",8323,3e-05,-4e-05,9e-05,0.43291,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C3","full cohort","nc_diabetes_insulin",8323,NA,NA,NA,NA,NA,"inestimable (a cell below 5 events)","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C3","full cohort","nc_hiv_art",8323,0.00209,-0.00092,0.0051,0.17381,FALSE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","full cohort","nc_household_urban",2197,0.03525,0.02036,0.05015,0,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
"C4","full cohort","nc_cooking_fuel_wood_charcoal",2197,-0.03347,-0.04367,-0.02326,0,TRUE,"estimated","tmle_adjusted","Adjusted fit conditions on design columns that are near-copies of the SES controls; restricted-rung estimates are not comparable to the main pipeline."
