"contrast","population","variable","n_removed","n_kept","mean_removed","mean_kept","smd"
"C2","control","months_since_start",2798,3328,8.0165,8.8266,-0.1924
"C2","control","sex_Female",2798,3328,0.238,0.1767,0.1517
"C2","control","sbp_missing",2798,3328,0.381,0.3218,0.1242
"C2","control","sought_prior_care",2798,3328,0.3842,0.332,0.109
"C2","control","eiss_ais",2798,3328,14.5075,15.4099,-0.0969
"C2","control","is_transfer",2798,3328,0.2873,0.2512,0.0815
"C2","control","mech_inj_2",2798,3328,0.0139,0.0219,-0.0603
"C2","control","pulse_Not.examined",2798,3328,0.0908,0.0769,0.05
"C2","control","head_injury_severity",2798,3328,0.0829,0.1037,-0.0464
"C2","control","vitals_1_hr_missing",2798,3328,0.3209,0.3356,-0.0313
"C2","treated","inj_place_Private.House..Home",40,999,0.3,0.008,0.8738
"C2","treated","intent_Intentional..assault.homicide..",40,999,0.35,0.0541,0.7846
"C2","treated","sought_prior_care",40,999,0.2,0.028,0.5559
"C2","treated","is_transfer",40,999,0.175,0.019,0.5402
"C2","treated","vitals_1_hr_missing",40,999,0.175,0.3433,-0.3894
"C2","treated","age",40,999,29.1475,33.2462,-0.3431
"C2","treated","sex_Female",40,999,0.3,0.1652,0.3208
"C2","treated","eiss_ais",40,999,19.15,15.995,0.3019
"C2","treated","mech_inj_2",40,999,0,0.035,-0.2693
"C2","treated","months_since_start",40,999,8.6909,9.733,-0.2622
"C2","treated","n_regions_injured",40,999,2.275,2.4424,-0.2495
"C2","treated","head_injury_severity",40,999,0.275,0.1271,0.2244
"C2","treated","inj_distance",40,999,14.1675,8.3473,0.2184
"C2","treated","sbp_missing",40,999,0.275,0.3153,-0.0879
"C2","treated","pulse_Not.examined",40,999,0.1,0.0841,0.0547
"C3","all","inj_place_Private.House..Home",314,8009,0.6178,0.1488,1.1
"C3","all","intent_Intentional..assault.homicide..",314,8009,0.5924,0.203,0.8662
"C3","all","eiss_ais",314,8009,10.9586,15.8599,-0.5502
"C3","all","n_regions_injured",314,8009,2.0669,2.33,-0.465
"C3","all","sex_Female",314,8009,0.3694,0.1875,0.414
"C3","all","is_transfer",314,8009,0.1178,0.2618,-0.3733
"C3","all","sought_prior_care",314,8009,0.1911,0.3351,-0.3314
"C3","all","months_since_start",314,8009,7.2315,8.5797,-0.3019
"C3","all","inj_distance",314,8009,5.9763,13.808,-0.3013
"C3","all","age",314,8009,27.2596,30.7506,-0.2745
"C3","all","head_injury_severity",314,8009,0.0255,0.1154,-0.2303
"C3","all","vitals_1_hr_missing",314,8009,0.414,0.3048,0.2289
"C3","all","pulse_Not.examined",314,8009,0.1242,0.0774,0.1557
"C3","all","mech_inj_2",314,8009,0.0064,0.0211,-0.1268
"C3","all","sbp_missing",314,8009,0.3599,0.3281,0.0668
"C3","control","inj_place_Private.House..Home",306,5820,0.6176,0.1754,1.0124
"C3","control","intent_Intentional..assault.homicide..",306,5820,0.598,0.2333,0.7958
"C3","control","eiss_ais",306,5820,10.6699,15.2253,-0.5463
"C3","control","n_regions_injured",306,5820,2.049,2.2904,-0.4657
"C3","control","is_transfer",306,5820,0.1144,0.2758,-0.4158
"C3","control","sought_prior_care",306,5820,0.1863,0.3648,-0.4075
"C3","control","sex_Female",306,5820,0.3693,0.196,0.3916
"C3","control","inj_distance",306,5820,5.177,12.431,-0.375
"C3","control","months_since_start",306,5820,7.2636,8.5193,-0.279
"C3","control","age",306,5820,27.2108,30.4342,-0.2506
"C3","control","head_injury_severity",306,5820,0.0163,0.0983,-0.2368
"C3","control","vitals_1_hr_missing",306,5820,0.4183,0.3242,0.1955
"C3","control","pulse_Not.examined",306,5820,0.1275,0.0809,0.1526
"C3","control","mech_inj_2",306,5820,0.0065,0.0189,-0.1105
"C3","control","sbp_missing",306,5820,0.3693,0.3478,0.0448
"C4","all","sought_prior_care",99,2098,0.899,0.2264,1.8409
"C4","all","is_transfer",99,2098,0.8283,0.1964,1.6273
"C4","all","inj_distance",99,2098,146.6929,11.4442,1.1325
"C4","all","inj_place_Private.House..Home",99,2098,0.4343,0.0634,0.9459
"C4","all","vitals_1_hr_missing",99,2098,0.0101,0.2645,-0.7952
"C4","all","eiss_ais",99,2098,26.1111,17.1602,0.744
"C4","all","months_since_start",99,2098,6.5627,8.8325,-0.6135
"C4","all","age",99,2098,24.7697,31.9043,-0.4864
"C4","all","intent_Intentional..assault.homicide..",99,2098,0.2525,0.1173,0.3527
"C4","all","head_injury_severity",99,2098,0.404,0.1501,0.3257
"C4","all","pulse_Not.examined",99,2098,0.0202,0.0701,-0.2416
"C4","all","n_regions_injured",99,2098,2.5758,2.4299,0.1773
"C4","all","mech_inj_2",99,2098,0.0101,0.0276,-0.129
"C4","all","sbp_missing",99,2098,0.2323,0.2769,-0.1023
"C4","all","sex_Female",99,2098,0.1818,0.1649,0.0445
"C4","control","sought_prior_care",99,1059,0.899,0.4145,1.1843
"C4","control","inj_distance",99,1059,146.6929,14.2628,1.1048
"C4","control","is_transfer",99,1059,0.8283,0.3645,1.0703
"C4","control","inj_place_Private.House..Home",99,1059,0.4343,0.1067,0.7905
"C4","control","eiss_ais",99,1059,26.1111,18.1841,0.6431
"C4","control","vitals_1_hr_missing",99,1059,0.0101,0.1936,-0.6362
"C4","control","age",99,1059,24.7697,30.7426,-0.4008
"C4","control","months_since_start",99,1059,6.5627,7.9883,-0.3875
"C4","control","head_injury_severity",99,1059,0.404,0.1671,0.2977
"C4","control","intent_Intentional..assault.homicide..",99,1059,0.2525,0.1681,0.2077
"C4","control","pulse_Not.examined",99,1059,0.0202,0.0557,-0.1863
"C4","control","n_regions_injured",99,1059,2.5758,2.424,0.1828
"C4","control","mech_inj_2",99,1059,0.0101,0.0217,-0.0928
"C4","control","sex_Female",99,1059,0.1818,0.1596,0.0589
"C4","control","sbp_missing",99,1059,0.2323,0.2408,-0.0199
