"contrast","design","confounding","modification","complexity","estimand","estimator","truth_mean","bias","rmse","coverage","emp_sd","mean_se","se_cal","n_converged","pass"
"C1","generate_treatment",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,-6e-04,0.01259,0.87,0.01261,0.0122,0.968,200,FALSE
"C1","generate_treatment",0,0,"linear","ATT","DR one-step ATT",0.02,0.00055,0.00732,0.955,0.00731,0.00749,1.025,200,TRUE
"C1","generate_treatment",0,0,"linear","ATO","augmented overlap weights",0.02,0.00026,0.00739,0.96,0.0074,0.00735,0.993,200,TRUE
"C1","generate_treatment",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,-0.00014,0.00873,0.95,0.00875,0.00892,1.019,200,TRUE
"C1","generate_treatment",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,0.00034,0.00867,0.95,0.00868,0.00868,1,200,TRUE
"C1","generate_treatment",2,0,"linear","ATE","TMLE (GLM nuisances)",0.0199,0.00524,0.01212,0.965,0.01095,0.00954,0.871,200,TRUE
"C1","generate_treatment",2,0,"linear","ATT","DR one-step ATT",0.01999,0.0131,0.01743,0.775,0.01153,0.01076,0.933,200,FALSE
"C1","generate_treatment",2,0,"linear","ATO","augmented overlap weights",0.01999,0.0102,0.01407,0.785,0.00973,0.00909,0.934,200,FALSE
"C1","generate_treatment",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.00791,0.01205,0.86,0.00912,0.00887,0.973,200,FALSE
"C1","generate_treatment",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.01999,0.01136,0.01652,0.86,0.01202,0.01172,0.974,200,FALSE
"C1","sample_treatment",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,-0.00034,0.0137,0.865,0.01374,0.01155,0.841,200,FALSE
"C1","sample_treatment",0,0,"linear","ATT","DR one-step ATT",0.02,-0.00052,0.00797,0.93,0.00797,0.00763,0.957,200,TRUE
