"contrast","design","confounding","modification","complexity","estimand","estimator","truth_mean","bias","rmse","coverage","emp_sd","mean_se","se_cal","n_converged","pass"
"C1","sample_treatment",0,0,"linear","ATO","augmented overlap weights",0.02,-0.00047,0.00771,0.935,0.00771,0.00743,0.964,200,TRUE
"C1","sample_treatment",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,-0.00035,0.00935,0.92,0.00936,0.00897,0.958,200,TRUE
"C1","sample_treatment",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,-0.00083,0.00896,0.945,0.00895,0.00865,0.966,200,TRUE
"C1","sample_treatment",2,0,"linear","ATE","TMLE (GLM nuisances)",0.0199,0.01348,0.06611,0.87,0.06488,0.0107,0.165,200,FALSE
"C1","sample_treatment",2,0,"linear","ATT","DR one-step ATT",0.02,0.01825,0.02169,0.69,0.01174,0.01182,1.007,200,FALSE
"C1","sample_treatment",2,0,"linear","ATO","augmented overlap weights",0.01999,0.01587,0.01839,0.64,0.00931,0.00957,1.028,200,FALSE
"C1","sample_treatment",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.01295,0.01562,0.77,0.00876,0.00951,1.085,200,FALSE
"C1","sample_treatment",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,0.01953,0.02289,0.625,0.01198,0.01197,0.999,200,FALSE
"PRIMARY","generate_treatment",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,-0.00028,0.01302,0.91,0.01305,0.01078,0.826,200,TRUE
"PRIMARY","generate_treatment",0,0,"linear","ATT","DR one-step ATT",0.02,-0.00083,0.01348,0.905,0.01349,0.01168,0.866,200,TRUE
"PRIMARY","generate_treatment",0,0,"linear","ATO","augmented overlap weights",0.02,-0.00024,0.01212,0.905,0.01215,0.01034,0.851,200,TRUE
"PRIMARY","generate_treatment",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.00478,0.07043,0.9,0.07045,0.01078,0.153,200,TRUE
"PRIMARY","generate_treatment",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,-0.0015,0.01302,0.93,0.01297,0.01264,0.974,200,TRUE
"PRIMARY","generate_treatment",2,0,"linear","ATE","TMLE (GLM nuisances)",0.01991,0.00439,0.01288,0.89,0.01214,0.01111,0.915,200,FALSE
"PRIMARY","generate_treatment",2,0,"linear","ATT","DR one-step ATT",0.01997,0.00419,0.01661,0.875,0.01611,0.0147,0.912,200,FALSE
"PRIMARY","generate_treatment",2,0,"linear","ATO","augmented overlap weights",0.01993,0.00414,0.01077,0.885,0.00997,0.00917,0.92,200,FALSE
"PRIMARY","generate_treatment",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.01991,0.00457,0.0127,0.89,0.01188,0.01079,0.909,200,FALSE
"PRIMARY","generate_treatment",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.01994,0.00314,0.01138,0.955,0.01097,0.01121,1.022,200,TRUE
"PRIMARY","sample_treatment",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,0.00123,0.01232,0.925,0.01229,0.01076,0.876,200,TRUE
"PRIMARY","sample_treatment",0,0,"linear","ATT","DR one-step ATT",0.02,0.00114,0.01269,0.9,0.01267,0.01124,0.887,200,TRUE
"PRIMARY","sample_treatment",0,0,"linear","ATO","augmented overlap weights",0.02,0.00093,0.0116,0.93,0.01159,0.01039,0.897,200,TRUE
"PRIMARY","sample_treatment",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.0014,0.01234,0.915,0.01229,0.01041,0.847,200,TRUE
"PRIMARY","sample_treatment",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,-9e-05,0.01308,0.955,0.01311,0.01271,0.97,200,TRUE
"PRIMARY","sample_treatment",2,0,"linear","ATE","TMLE (GLM nuisances)",0.01991,0.01278,0.01671,0.695,0.0108,0.01019,0.944,200,FALSE
"PRIMARY","sample_treatment",2,0,"linear","ATT","DR one-step ATT",0.01999,0.01637,0.0209,0.675,0.01302,0.01262,0.97,200,FALSE
"PRIMARY","sample_treatment",2,0,"linear","ATO","augmented overlap weights",0.01993,0.00941,0.01275,0.8,0.00862,0.00848,0.984,200,FALSE
"PRIMARY","sample_treatment",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.01991,0.01143,0.01547,0.74,0.01044,0.01002,0.96,200,FALSE
"PRIMARY","sample_treatment",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.01998,0.00832,0.01276,0.935,0.0097,0.01059,1.091,200,TRUE
