"contrast","estimand","target_population","max_weight","p99_weight","ess_treated","ess_control","n_removed_treated","n_removed_control","verdict","note","feasible"
"C1","ATE","everyone in the cohort",257.1,13.8,256.5,7051.2,0,0,"SEVERE","",FALSE
"C1","trimmed_ATE [0.05, 0.95]","patients whose covariates could plausibly have produced either arm",19.9,12.3,673.1,3805.3,45,3332,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"C1","trimmed_ATE [0.10, 0.90]","patients whose covariates could plausibly have produced either arm",9.9,8.3,754.2,2658.1,124,4518,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"C1","ATT","the treated (rows with an observed outcome)",5,1,1039,2242.5,0,0,"PASS","control weights bounded by max g/(1-g) = 5.8",TRUE
"C1","ATC","the controls",256.1,12.8,197,7284,0,0,"SEVERE","treated weights bounded by max (1-g)/g = 504.5",FALSE
"C1","ATO","patients in clinical equipoise, weighted g(1-g)",1,0.9,990.6,3538.2,0,0,"PASS","weights bounded by 1; exact covariate balance under logistic g",TRUE
"C1","matched_ATT","treated patients with a matched control",1,1,985,985,54,6299,"PASS","94.8% of treated retained",TRUE
"C2","ATE","everyone in the cohort",207.8,12.1,222.1,5747.9,0,0,"SEVERE","",FALSE
"C2","trimmed_ATE [0.05, 0.95]","patients whose covariates could plausibly have produced either arm",19.9,10.9,645.6,3075.1,40,2798,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"C2","trimmed_ATE [0.10, 0.90]","patients whose covariates could plausibly have produced either arm",9.9,7.6,757.4,2270.3,95,3691,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"C2","ATT","the treated (rows with an observed outcome)",9.1,1,1039,1384.3,0,0,"PASS","control weights bounded by max g/(1-g) = 41.1",TRUE
"C2","ATC","the controls",206.8,11.1,159.7,6126,0,0,"SEVERE","treated weights bounded by max (1-g)/g = 490.7",FALSE
"C2","ATO","patients in clinical equipoise, weighted g(1-g)",1,0.9,961.4,2853.8,0,0,"PASS","weights bounded by 1; exact covariate balance under logistic g",TRUE
"C2","matched_ATT","treated patients with a matched control",1,1,925,925,114,5201,"PASS","89.0% of treated retained",TRUE
"C3","ATE","everyone in the cohort",40.4,9.5,1401,5509,0,0,"FLAG","",TRUE
"C3","trimmed_ATE [0.05, 0.95]","patients whose covariates could plausibly have produced either arm",18.1,9.2,1490.3,5232.7,8,306,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"C3","trimmed_ATE [0.10, 0.90]","patients whose covariates could plausibly have produced either arm",10,7.6,1651,4188,84,1493,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"C3","ATT","the treated (rows with an observed outcome)",9.4,1.7,2197,2305.9,0,0,"PASS","control weights bounded by max g/(1-g) = 26.2",TRUE
"C3","ATC","the controls",39.4,8.3,1032.9,6126,0,0,"FLAG","treated weights bounded by max (1-g)/g = 57.8",TRUE
"C3","ATO","patients in clinical equipoise, weighted g(1-g)",1,0.9,2016.6,4226.2,0,0,"PASS","weights bounded by 1; exact covariate balance under logistic g",TRUE
"C3","matched_ATT","treated patients with a matched control",1,1,1949,1949,248,4177,"PASS","88.7% of treated retained",TRUE
"C4","ATE","everyone in the cohort",18.7,5.5,725.4,920.8,0,0,"FLAG","",TRUE
"C4","trimmed_ATE [0.05, 0.95]","patients whose covariates could plausibly have produced either arm",18.7,5.5,725.4,851.8,0,99,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"C4","trimmed_ATE [0.10, 0.90]","patients whose covariates could plausibly have produced either arm",8.5,5.4,857.7,770.6,19,214,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"C4","ATT","the treated (rows with an observed outcome)",7.5,3.5,1039,501,0,0,"PASS","control weights bounded by max g/(1-g) = 15.5",TRUE
"C4","ATC","the controls",17.7,3.6,341.2,1158,0,0,"PASS","treated weights bounded by max (1-g)/g = 268.5",TRUE
"C4","ATO","patients in clinical equipoise, weighted g(1-g)",0.9,0.8,872.2,807.5,0,0,"PASS","weights bounded by 1; exact covariate balance under logistic g",TRUE
"C4","matched_ATT","treated patients with a matched control",1,1,569,569,470,589,"PASS","54.8% of treated retained",TRUE
"PRIMARY","ATE","everyone in the cohort",8,4.8,934.4,511.9,0,0,"PASS","",TRUE
"PRIMARY","trimmed_ATE [0.05, 0.95]","patients whose covariates could plausibly have produced either arm",8,4.8,933.5,511.9,1,0,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"PRIMARY","trimmed_ATE [0.10, 0.90]","patients whose covariates could plausibly have produced either arm",8,4.8,920.1,503.9,16,13,"PASS","estimand changes: common-support population; g refit at estimation",TRUE
"PRIMARY","ATT","the treated (rows with an observed outcome)",7,3.7,1003,385.8,0,0,"PASS","control weights bounded by max g/(1-g) = 19.3",TRUE
"PRIMARY","ATC","the controls",5.7,1.8,601.2,613,0,0,"PASS","treated weights bounded by max (1-g)/g = 17.3",TRUE
"PRIMARY","ATO","patients in clinical equipoise, weighted g(1-g)",0.9,0.8,867.7,521.6,0,0,"PASS","weights bounded by 1; exact covariate balance under logistic g",TRUE
"PRIMARY","matched_ATT","treated patients with a matched control",1,1,409,409,594,204,"PASS","40.8% of treated retained",TRUE
