"method","n_ok","mean_est","bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","coverage","mc_se_cov","ci_width"
"Crude",200,0.00123,0.03102,0.03102,0.01444,0.0135,0.935,0.0342,0.39,0.0345,0.05293
"IPTW",200,-0.03346,-0.00367,0.00367,0.01995,0.02025,1.015,0.02024,0.96,0.0139,0.07937
"PS Match",200,-0.0277,0.00209,0.00209,0.01732,0.0172,0.993,0.0174,0.945,0.0161,0.06742
"TMLE",200,-0.03261,-0.00282,0.00282,0.01873,0.01825,0.974,0.01889,0.945,0.0161,0.07153
"TMLE_CF",200,-0.03238,-0.00258,0.00258,0.01928,0.01838,0.953,0.01941,0.935,0.0174,0.07206
"Match_TMLE",200,-0.03022,-0.00042,0.00042,0.01468,0.03092,2.107,0.01465,0.995,0.005,0.1212
