"method","n_ok","mean_est","bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","coverage","mc_se_cov","ci_width"
"Crude",200,-0.01191,0.02157,0.02157,0.01424,0.01435,1.007,0.02583,0.69,0.0327,0.05624
"IPTW",200,-0.02655,0.00692,0.00692,0.01466,0.01474,1.005,0.01618,0.935,0.0174,0.05779
"PS Match",200,-0.02615,0.00732,0.00732,0.01612,0.01561,0.968,0.01767,0.915,0.0197,0.06118
"TMLE",200,-0.0265,0.00697,0.00697,0.01462,0.01458,0.997,0.01616,0.925,0.0186,0.05715
"TMLE_CF",200,-0.02605,0.00742,0.00742,0.01486,0.01463,0.985,0.01658,0.94,0.0168,0.05735
"Match_TMLE",200,-0.02886,0.00461,0.00461,0.01558,0.01651,1.059,0.01621,0.955,0.0147,0.06471
