"effect_size","candidate","bias","rmse","coverage","emp_sd","mean_se","n_converged","se_cal"
0.03,"aggressive",-0.00512,0.02222,0.967,0.022,0.02283,30,1.038
0.03,"middle",-0.00512,0.02222,0.967,0.022,0.02283,30,1.038
0.03,"robust",-0.0055,0.02274,0.933,0.02244,0.02263,30,1.008
0.05,"aggressive",-0.00578,0.0234,0.967,0.02306,0.02283,30,0.99
0.05,"middle",-0.00578,0.0234,0.967,0.02306,0.02283,30,0.99
0.05,"robust",-0.00616,0.02391,0.967,0.02349,0.02264,30,0.964
