"stage","decision_type","description","rationale","timestamp"
"Stage 1a","lock","Lock 20041c917dd7902d3373be37645d4d01d4c1215479df87be567d1527415bfa43 for Scenario D: Misspecified Surface","Pre-outcome lock before any estimation.","2026-06-08 23:45:06"
"Stage 1b","design_precision","Design-precision estimate computed","Pre-outcome MDD diagnostic.","2026-06-08 23:45:06"
"Stage 2b","candidate_selection","Selected aggressive by min_rmse","Plasmode-selected TMLE specification.","2026-06-08 23:45:18"
"Stage 2b*","dq_stress","Plasmode DQ stress test executed.","Quantitative SPIFD2 mapping check.","2026-06-08 23:47:36"
"Gate","authorize","Outcome unblinding authorised by gate.","All required checkpoints passed.","2026-06-08 23:47:36"
