"effect_size","candidate","bias","rmse","coverage","emp_sd","mean_se","n_converged","se_cal"
0.03,"glm_t01",-3e-04,0.01541,0.933,0.01567,0.01388,30,0.886
0.03,"glm_t05",-3e-04,0.01541,0.933,0.01567,0.01388,30,0.886
0.05,"glm_t01",-0.00102,0.01702,0.867,0.01728,0.01443,30,0.835
0.05,"glm_t05",-0.00102,0.01702,0.867,0.01728,0.01443,30,0.835
