"stage","decision_type","description","rationale","timestamp"
"Stage 1a","lock","Lock 7febea4ddff804b084905fbdd1792fbb6cd02c0cf7e9cc6122b02a5f08761c42 for Scenario B: Marginal Overlap","Pre-outcome lock before any estimation.","2026-06-03 22:02:06"
"Stage 1b","design_precision","Design-precision estimate computed","Pre-outcome MDD diagnostic.","2026-06-03 22:02:06"
"Stage 2b","candidate_selection","Selected robust by min_rmse","Plasmode-selected TMLE specification.","2026-06-03 22:02:10"
"Stage 2b*","dq_stress","Plasmode DQ stress test executed.","Quantitative SPIFD2 mapping check.","2026-06-03 22:02:46"
"Gate","authorize","Outcome unblinding authorised by gate.","All required checkpoints passed.","2026-06-03 22:02:46"
