"method","n_ok","mean_est","bias","mc_se_bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","mc_se_rmse","coverage","mc_se_cov","ci_width"
"Crude",200,0.04012,0.11983,0.00163,0.11983,0.02307,0.02236,0.969,0.12202,0.00165,0,0,0.08765
"IPTW",200,-0.03536,0.04435,0.00169,0.04435,0.02397,0.02392,0.998,0.05038,0.00159,0.54,0.0352,0.09375
"PS Match",200,-0.04087,0.03884,0.00175,0.03884,0.02468,0.02547,1.032,0.04598,0.00158,0.675,0.0331,0.09983
"TMLE",200,-0.0346,0.0451,0.0017,0.0451,0.02408,0.0232,0.964,0.0511,0.00161,0.505,0.0354,0.09095
"TMLE_CF",200,-0.07239,0.00732,0.00165,0.00732,0.02328,0.0221,0.949,0.02435,0.00118,0.92,0.0192,0.08662
"Match_TMLE",200,-0.04872,0.03099,0.00169,0.03099,0.02394,0.02808,1.173,0.03912,0.00151,0.835,0.0262,0.11008
