"effect_size","candidate","bias","rmse","coverage","emp_sd","mean_se","n_converged","se_cal"
0.03,"glm_t01",-0.00329,0.0152,0.9,0.0151,0.0152,30,1.007
0.03,"glm_t05",-0.00329,0.0152,0.9,0.0151,0.0152,30,1.007
0.05,"glm_t01",-0.00388,0.01532,0.933,0.01508,0.01565,30,1.038
0.05,"glm_t05",-0.00388,0.01532,0.933,0.01508,0.01565,30,1.038
