"method","n_ok","mean_est","bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","coverage","mc_se_cov","ci_width"
"Crude",200,-0.01763,0.01216,0.01216,0.01382,0.01348,0.975,0.01839,0.85,0.0252,0.05283
"IPTW",200,-0.03041,-0.00061,0.00061,0.01373,0.01377,1.003,0.01371,0.95,0.0154,0.05399
"PS Match",200,-0.03123,-0.00144,0.00144,0.01508,0.01486,0.986,0.01511,0.955,0.0147,0.05826
"TMLE",200,-0.03041,-0.00061,0.00061,0.01373,0.01364,0.994,0.01371,0.955,0.0147,0.05348
"TMLE_CF",200,-0.02974,5e-05,5e-05,0.01423,0.01369,0.962,0.01419,0.945,0.0161,0.05366
"Match_TMLE",200,-0.03358,-0.00379,0.00379,0.01462,0.01565,1.07,0.01507,0.97,0.0121,0.06136
