"document","location","value","context"
"manuscript","line 3214","0.0135","| `glmnet_t01`    | +0.00019 | 0.0135 |     0.92 |"
"manuscript","line 3214","0.92","| `glmnet_t01`    | +0.00019 | 0.0135 |     0.92 |"
"manuscript","line 3215","+0.00082","| `ensemble_t01`  | +0.00082 | 0.0136 |     0.92 |"
"manuscript","line 3215","0.0136","| `ensemble_t01`  | +0.00082 | 0.0136 |     0.92 |"
"manuscript","line 3215","0.92","| `ensemble_t01`  | +0.00082 | 0.0136 |     0.92 |"
"manuscript","line 3218","0.05","andidate, additive risk-difference effect of 0.05). On the"
"manuscript","line 3220","0.0002","0.0002), so the `min_rmse` rule would pick `glm_t01`"
"manuscript","line 3222","05","`ensemble_t05` instead."
"manuscript","line 3225","0.01","(`max_abs_bias = 0.01`, `min_coverage = 0.90`) on the clean-data"
"manuscript","line 3225","0.90","(`max_abs_bias = 0.01`, `min_coverage = 0.90`) on the clean-data"
"manuscript","line 3247","0.0134","baseline RMSE, 0.0134), but under the stress sweep `glm_t01` has th"
"manuscript","line 3250","1.27","small ensemble library) has the lowest (1.27). The case study"
"manuscript","line 3305","95"," C4 primary row is $-2.9$ percentage points (95% CI $-4.9$ to"
"manuscript","line 3307","-4.8","treated (ATT $-2.8$, CI $-4.8$ to $-0.9$; ATE $-1.7$, CI $-3.5$ to"
"manuscript","line 3307","-3.5","$-2.8$, CI $-4.8$ to $-0.9$; ATE $-1.7$, CI $-3.5$ to"
"manuscript","line 3308","0.1","$0.1$), with the overlap-weighted rows nearest the"
"manuscript","line 3310","3","estimand. C3, any ambulance against non-ambulance arrival,"
"manuscript","line 3319","4","I $-320$ to $-169$); the transfers-included C4 gap"
"manuscript","line 3320","-100","of $-100$ to $-205$ minutes shrinks to a null $-0.1$ m"
"manuscript","line 3320","-205","of $-100$ to $-205$ minutes shrinks to a null $-0.1$ minutes (CI"
"manuscript","line 3333","2","rows beside it. The substantive C1 and C2 answers are the trimmed,"
"manuscript","line 3387","0.94","Stage 2b feasibility coverage of 0.94 with bias below 0.001 across"
"manuscript","line 3387","0.001","feasibility coverage of 0.94 with bias below 0.001 across"
"manuscript","line 3708","-0.990","Scenario B (marginal overlap, PS range 0.037--0.990)"
"manuscript","line 3728","1,700","candidates) the stress test fits about 1,700 candidate TMLE models"
"manuscript","line 3766","2","2. **Operating-characteristic validation of the"
"manuscript","line 3770","3","3. **Unmeasured-confounding severity gradient:*"
"manuscript","line 3774","4","4. **Pre-protocol stress-test mode:** allow the"
"manuscript","line 3789","7","7. **Richer synthetic-outcome models:** effect "
"manuscript","line 3793","8","8. **MAR / MNAR missingness handling:** the dat"
"manuscript","line 3798","9","9. **Survival and competing-risk estimands:** w"
"manuscript","line 3854","3","3. Fit the propensity and read the design: `ass"
"manuscript","line 3858","4","4. Run  INLINE  and  INLINE "
"manuscript","line 3859","2","   on the surviving estimand. Use the SPIFD2-derived ranges as the"
"manuscript","line 3925","0.0002","ghly four decimal places (a difference near $0.0002$ in the"
"manuscript","line 4022","70","(figures/fig-roadmap.png){#fig-roadmap width=70%}"
"manuscript","line 4024","90","es/fig-governance.png){#fig-governance width=90%}"
"presentation","line 67","3","3. What the simulations showed."
"presentation","line 69","5","5. Where this sits among existing tools."
"presentation","line 91","+14,637","- estimated effect **+14,637 minutes**, tight confidence interval"
"presentation","line 99","2","2. The declared comparison is estimable. If not"
"presentation","line 101","4","4. Any switch of estimand followed a rule decla"
"presentation","line 136","50","::: {.column width=""50%""}"
"presentation","line 139","50","::: {.column width=""50%""}"
"presentation","line 203","3","# 3. What the simulations showed"
"presentation","line 207","200","2,000 people, 200 repetitions each. Scenario A has good overlap"
"presentation","line 231","4","# 4. Case study: Rescue.Co, Nairobi"
"presentation","line 235","+14,637"," and time to arrival, the outcome behind the +14,637-minute failure. The outcome columns live in a"
"presentation","line 240","2","| C2 | Rescue.Co vs non-ambulance | 7,165 | 1,039 "
"presentation","line 241","3","| C3 | Any ambulance vs non-ambulance | 8,323 | 2,"
"presentation","line 242","4","| C4 | Rescue.Co vs other ambulance, transfers inc"
"presentation","line 242","1,039","ther ambulance, transfers included | 2,197 | 1,039 |"
"presentation","line 288","95","| Matched ATT | 1.0 | PASS, 95% of treated matched |"
"presentation","line 333","3","| C3, C4 | Proceed, FLAG caveat attached |"
"presentation","line 333","4","| C3, C4 | Proceed, FLAG caveat attached |"
"presentation","line 334","2","| C1, C2 | Proceed with qualification. The ATE is not "
"presentation","line 390","+14,637","Time to arrival once returned +14,637 minutes. Down the ladder, the bounded estiman"
"presentation","line 431","5","# 5. Where this sits"
"presentation","line 456","2","2. Is SEVERE the right default trigger, and tri"
"presentation","line 458","4","4. The matched ATT is the most robust rung on e"
"presentation","line 543","5","and HIV on ART are inestimable (a cell below 5 events) and labelled as such. A TMLE-adjusted"
"presentation","line 549","0.93","t at strength 2, where the matched ATT holds 0.93 to 0.96)."
"presentation","line 549","0.96","ength 2, where the matched ATT holds 0.93 to 0.96)."
"presentation","line 553","0.0002","ation tie on the clean baseline (RMSE within 0.0002), where the minimum-RMSE rule would lock `glm"
"presentation","line 580","50","::: {.column width=""50%""}"
"presentation","line 583","50","::: {.column width=""50%""}"
"presentation","line 591","50","::: {.column width=""50%""}"
"presentation","line 594","50","::: {.column width=""50%""}"
"presentation","line 602","50","::: {.column width=""50%""}"
"presentation","line 605","50","::: {.column width=""50%""}"
"presentation","line 613","50","::: {.column width=""50%""}"
"presentation","line 616","50","::: {.column width=""50%""}"
