"document","location","value","context"
"manuscript","line 169","95","good overlap (95% CI coverage  INLINE , Monte Carlo SE"
"manuscript","line 192","250","h a maximum inverse-probability weight above 250; the design stage"
"manuscript","line 228","+14,637","condition produced an effect of +14,637 minutes inside a narrow"
"manuscript","line 283","2","templates such as SPIFD2, the Structured Process to Identify"
"manuscript","line 431","54","surface to 54 functions after earlier versions accreted gov"
"manuscript","line 455","2","documented in a SPIFD2-style review [ ] to quantitative"
"manuscript","line 514","95","with 95% CI coverage of the true effect near  INLINE "
"manuscript","line 560","2","causal estimand; (2) characterise the observed data and their fit"
"manuscript","line 561","3","the target trial; (3) assess identifiability; (4) define the stati"
"manuscript","line 561","4","e target trial; (3) assess identifiability; (4) define the statistical"
"manuscript","line 565","7","of the identification assumptions; and (7) compare alternative study"
"manuscript","line 753","24","$Y$ at 24 months. In the unmeasured-confounding scenari"
"manuscript","line 863","2","| **2c** | **Plasmode DQ stress test** | **No (synt"
"manuscript","line 866","4","| 4 | Estimation of the declared primary and feas"
"manuscript","line 869","2","2b generates synthetic outcomes from a parametr"
"manuscript","line 1229","+14,637","+14,637-minute effect of the Introduction, would have"
"manuscript","line 1314","2","SPIFD2 [ ] does not list a fixed taxonomy of"
"manuscript","line 1362","2","g is deliberately one-to-many: a single SPIFD2 design"
"manuscript","line 1574","0.01","(`max_abs_bias = 0.01` on the risk-difference scale, `min_coverage"
"manuscript","line 1589","0.004","candidate rises from near zero to 0.004, still within the"
"manuscript","line 1642","7","[ , p. 7]. This is the property that makes the test"
"manuscript","line 1956","2","2. **IPTW:** stabilised inverse-probability-of-"
"manuscript","line 1957","3","3. **PS Match:** 1:1 nearest-neighbour propensi"
"manuscript","line 1958","4","4. **TMLE:** TMLE with the plasmode-selected sp"
"manuscript","line 1960","5","5. **TMLE_CF (CV-TMLE):** cross-validated TMLE "
"manuscript","line 1965","6","6. **Match_TMLE:** TMLE on the propensity-match"
"manuscript","line 1969","0.5","- **A. Good overlap.** `overlap_strength = 0.5`, no unmeasured"
"manuscript","line 1971","1.5","**B. Marginal overlap.** `overlap_strength = 1.5`, no unmeasured"
"manuscript","line 1973","0.5","nmeasured confounding.** `overlap_strength = 0.5`, plus a"
"manuscript","line 1991","0.10","at 0.10 and 0.20; and missing not at random, value-de"
"manuscript","line 1991","0.20","at 0.10 and 0.20; and missing not at random, value-dependent, "
"manuscript","line 1991","0.10","d missing not at random, value-dependent, at 0.10 and"
"manuscript","line 1992","0.20","0.20, each followed by median imputation); two pai"
"manuscript","line 1995","8",") \in \{(2,2),\, (3,3),\, (4,4),\, (6,6),\, (8,8)\}$"
"manuscript","line 1995","8","\in \{(2,2),\, (3,3),\, (4,4),\, (6,6),\, (8,8)\}$"
"manuscript","line 1997","2","($\times 2$, $\times 3$, $\times 4$) that amplify the"
"manuscript","line 1997","3","($\times 2$, $\times 3$, $\times 4$) that amplify the"
"manuscript","line 1997","4","($\times 2$, $\times 3$, $\times 4$) that amplify the"
"manuscript","line 2000","19","reaches the boundary. This yields 19 severity cells per Monte Carlo"
"manuscript","line 2005","0.001","($t \in \{0.001, 0.025, 0.20\}$, labelled aggressive, middle,"
"manuscript","line 2005","0.025","($t \in \{0.001, 0.025, 0.20\}$, labelled aggressive, middle, and"
"manuscript","line 2005","0.20","($t \in \{0.001, 0.025, 0.20\}$, labelled aggressive, middle, and"
"manuscript","line 2015","0.03","differences within roughly $\pm 0.03$ of nominal should be read as"
"manuscript","line 2091","0.02","`max_abs_bias = 0.02` and `min_coverage = 0.90`, a deliberately lo"
"manuscript","line 2091","0.90","`max_abs_bias = 0.02` and `min_coverage = 0.90`, a deliberately looser"
"manuscript","line 2092","0.01","bias bound than the `max_abs_bias = 0.01` package default used in the"
"manuscript","line 2097","0.02"," and interpretations in this section use the 0.02 bound."
"manuscript","line 2101","0.02","of 0.02 and with confidence intervals that cover at t"
"manuscript","line 2103","95","its confidence intervals do not cover at 95%. This is the textbook"
"manuscript","line 2125","95","maximum, and its 95% CI coverage falls to about  INLINE ,"
"manuscript","line 2137","0.000","$0.000$, so it carries the wrong sign entirely. IPTW"
"manuscript","line 2138","+0.044","of the confounding (bias $+0.044$) but coverage falls to $0.540$"
"manuscript","line 2138","0.540","nding (bias $+0.044$) but coverage falls to $0.540$"
"manuscript","line 2140","+0.045","e GLM-based TMLE is similarly limited (bias $+0.045$,"
"manuscript","line 2141","0.505","coverage $0.505$). PS matching improves coverage to $0.675$"
"manuscript","line 2141","0.675"," $0.505$). PS matching improves coverage to $0.675$"
"manuscript","line 2142","+0.039","liper restriction but its bias remains near $+0.039$, and the"
"manuscript","line 2143","0.835","t TMLE does a little better still (coverage $0.835$, bias"
"manuscript","line 2144","+0.031","$+0.031$)."
"manuscript","line 2146","+0.007","library recovers the truth: bias $+0.007$ (about $0.3$ of the"
"manuscript","line 2146","0.3","ry recovers the truth: bias $+0.007$ (about $0.3$ of the"
"manuscript","line 2147","0.920","empirical SD) and coverage $0.920$, indistinguishable from nominal"
"manuscript","line 2170","95","SE/SD ratios and 95% CI coverage under each method."
"manuscript","line 2183","95"," INLINE ), so the 95% interval fails in roughly one"
"manuscript","line 2394","95","t; SE / SD ratio near 1; coverage at nominal 95 % | **GO**; same point estimate and CI as the"
"manuscript","line 2395","1.04","E IF-SE is approximately calibrated (SE/SD ≈ 1.04) in this scenario. Many reviewers will not ca"
"manuscript","line 2467","0.90","under (0.90, 0.95) produces the largest bias of the three"
"manuscript","line 2467","0.95","under (0.90, 0.95) produces the largest bias of the three"
"manuscript","line 2472","1.5","ts the selected candidate's RMSE ratio above 1.5."
"manuscript","line 2475","1.5","1.5, though unmeasured confounding stays dominant"
"manuscript","line 2592","0.001","(aggressive at $t=0.001$, middle at $t=0.025$, robust at $t=0.20$),"
"manuscript","line 2592","0.025","(aggressive at $t=0.001$, middle at $t=0.025$, robust at $t=0.20$),"
"manuscript","line 2592","0.20","$t=0.001$, middle at $t=0.025$, robust at $t=0.20$),"
"manuscript","line 2639","0.20","uncation 0.001), middle (0.025), and robust (0.20). Three"
"manuscript","line 2645","3","me on the odds scale across odds ratios from 3 to 8. The third is"
"manuscript","line 2645","8"," the odds scale across odds ratios from 3 to 8. The third is"
"manuscript","line 2648","200","o a candidate's own baseline. The study uses 200"
"manuscript","line 2920","50","omes from the earlier single-contrast run at 50"
"manuscript","line 2945","-8","come (Glasgow Outcome Scale Extended, GOSE 1--8)"
"manuscript","line 2947","6","6-month follow-up; (c) inter-facility transfers"
"manuscript","line 2951","15","(15 March 2024 to 8 May 2024) acts as a quasi-nat"
"manuscript","line 2951","8","(15 March 2024 to 8 May 2024) acts as a quasi-natural-experiment"
"manuscript","line 2980","2","against everyone else), C2 (Rescue.Co against non-ambulance arrival),"
"manuscript","line 2981","3","C3 (any ambulance against non-ambulance), C4 (Re"
"manuscript","line 2981","4","C3 (any ambulance against non-ambulance), C4 (Rescue.Co against other"
"manuscript","line 2988","4"," Introduction; severe disability (GOSE $\le$ 4, so the"
"manuscript","line 3048","2"," INLINE , and C2 is nearly as bad;"
"manuscript","line 3064","5.0","control weights at 5.0 (the largest treated propensity is 0.85), the"
"manuscript","line 3064","0.85","ts at 5.0 (the largest treated propensity is 0.85), the"
"manuscript","line 3084","2","strength 0, 1, 2 along the separating direction, crossed with "
"manuscript","line 3090","0.87","e ATE fails at the mildest surface (coverage 0.87 while"
"manuscript","line 3098","0.81","together (coverage 0.81 to 0.89 at the harshest rung) while the"
"manuscript","line 3098","0.89","together (coverage 0.81 to 0.89 at the harshest rung) while the"
"manuscript","line 3099","0.93","matched ATT holds 0.93 to 0.96 throughout; degradation that arrives"
"manuscript","line 3099","0.96","matched ATT holds 0.93 to 0.96 throughout; degradation that arrives"
"manuscript","line 3158","0.074","$-$0.052, CI $-$0.074 to $-$0.029): ambulance transfer patients"
"manuscript","line 3158","0.029","$-$0.052, CI $-$0.074 to $-$0.029): ambulance transfer patients"
"manuscript","line 3180","3","e-missingness are predicted by treatment on C3, C4, and"
"manuscript","line 3180","4","ssingness are predicted by treatment on C3, C4, and"
"manuscript","line 3181","0.11","e PRIMARY contrast (standardised differences 0.11 to 0.34), which"
"manuscript","line 3181","0.34","Y contrast (standardised differences 0.11 to 0.34), which"
"manuscript","line 3197","3","C3 and C4 the recommendation is to proceed with "
"manuscript","line 3197","4","C3 and C4 the recommendation is to proceed with the FLA"
"manuscript","line 3212","+0.00001","| `glm_t01`       | +0.00001 | 0.0134 |     0.92 |"
"manuscript","line 3212","0.0134","| `glm_t01`       | +0.00001 | 0.0134 |     0.92 |"
"manuscript","line 3212","0.92","| `glm_t01`       | +0.00001 | 0.0134 |     0.92 |"
"manuscript","line 3213","05","| `ensemble_t05`  | +0.00076 | 0.0135 |     0.92 |"
"manuscript","line 3213","+0.00076","| `ensemble_t05`  | +0.00076 | 0.0135 |     0.92 |"
"manuscript","line 3213","0.0135","| `ensemble_t05`  | +0.00076 | 0.0135 |     0.92 |"
"manuscript","line 3213","0.92","| `ensemble_t05`  | +0.00076 | 0.0135 |     0.92 |"
"manuscript","line 3214","+0.00019","| `glmnet_t01`    | +0.00019 | 0.0135 |     0.92 |"
