"document","location","value","source_file","source_field","script","commit","kind","note"
"manuscript","line 645","40.6","rescueCo/results/multiarm/support_by_contrast.csv","df$pct_outside_band[df$contrast == ""C1""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 645","257","rescueCo/results/multiarm/support_by_contrast.csv","df$max_iptw_weight[df$contrast == ""C1""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 191","41","rescueCo/results/multiarm/support_by_contrast.csv","df$pct_outside_band[df$contrast == ""C1""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim","abstract rounds 40.57 to 41"
"manuscript","line 189","8,323","rescueCo/results/multiarm/lock_summary.csv","df$n[df$contrast == ""C1""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"manuscript","line 3051","1,386","rescueCo/results/multiarm/violation_regions.csv","df$n[df$contrast == ""C1""][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3051","1.4","rescueCo/results/multiarm/violation_regions.csv","100 * df$p_treated[df$contrast == ""C1""][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3053","4.2","rescueCo/results/multiarm/violation_regions.csv","100 * df$p_treated[df$contrast == ""C1"" & df$n == 1062]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3066","4,946","rescueCo/results/multiarm/who_is_unsupported.csv","df$n_kept[df$contrast == ""C1"" & df$population == ""all""][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3066","3,377","rescueCo/results/multiarm/who_is_unsupported.csv","df$n_removed[df$contrast == ""C1"" & df$population == ""all""][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3068","40","rescueCo/results/multiarm/who_is_unsupported.csv","100 * df$mean_removed[df$contrast == ""C1"" & df$population ==      ""all"" & grepl(""Private.House"", df$variable)][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3068","1.10","rescueCo/results/multiarm/who_is_unsupported.csv","df$smd[df$contrast == ""C1"" & df$population == ""all"" & grepl(""Private.House"",      df$variable)][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3069","39","rescueCo/results/multiarm/who_is_unsupported.csv","100 * df$mean_removed[df$contrast == ""C1"" & df$population ==      ""all"" & grepl(""assault"", df$variable)][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3069","10","rescueCo/results/multiarm/who_is_unsupported.csv","100 * df$mean_kept[df$contrast == ""C1"" & df$population == ""all"" &      grepl(""assault"", df$variable)][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3156","+0.068","rescueCo/results/multiarm/nc_ladder.csv","df$estimate[df$contrast == ""C4"" & df$negative_control == ""nc_household_urban"" &      df$cohort == ""full cohort""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3157","0.049","rescueCo/results/multiarm/nc_ladder.csv","df$ci_lower[df$contrast == ""C4"" & df$negative_control == ""nc_household_urban"" &      df$cohort == ""full cohort""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3157","0.086","rescueCo/results/multiarm/nc_ladder.csv","df$ci_upper[df$contrast == ""C4"" & df$negative_control == ""nc_household_urban"" &      df$cohort == ""full cohort""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3158","0.052","rescueCo/results/multiarm/nc_ladder.csv","abs(df$estimate[df$contrast == ""C4"" & df$negative_control ==      ""nc_cooking_fuel_wood_charcoal"" & df$cohort == ""full cohort""])","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3160","+0.001","rescueCo/results/multiarm/nc_ladder.csv","df$estimate[df$contrast == ""C4"" & df$negative_control == ""nc_household_urban"" &      df$cohort == ""transfers excluded""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3162","+0.013","rescueCo/results/multiarm/nc_ladder.csv","df$estimate[df$contrast == ""C1"" & df$negative_control == ""nc_household_urban"" &      df$cohort == ""full cohort""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 3125","0.018","rescueCo/results/multiarm/designcmp_C1.rds","x$bias[x$confounding == 2 & x$modification == 0 & x$design ==      ""sample_treatment"" & x$estimand == ""ATT""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3125","0.013","rescueCo/results/multiarm/designcmp_C1.rds","x$bias[x$confounding == 2 & x$modification == 0 & x$design ==      ""generate_treatment"" & x$estimand == ""ATT""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3126","0.016","rescueCo/results/multiarm/designcmp_C1.rds","x$bias[x$confounding == 2 & x$modification == 0 & x$design ==      ""sample_treatment"" & x$estimand == ""ATO""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3126","0.010","rescueCo/results/multiarm/designcmp_C1.rds","x$bias[x$confounding == 2 & x$modification == 0 & x$design ==      ""generate_treatment"" & x$estimand == ""ATO""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3127","0.69","rescueCo/results/multiarm/designcmp_C1.rds","x$coverage[x$confounding == 2 & x$modification == 0 & x$design ==      ""sample_treatment"" & x$estimand == ""ATT""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3127","0.78","rescueCo/results/multiarm/designcmp_C1.rds","x$coverage[x$confounding == 2 & x$modification == 0 & x$design ==      ""generate_treatment"" & x$estimand == ""ATT""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3127","0.64","rescueCo/results/multiarm/designcmp_C1.rds","x$coverage[x$confounding == 2 & x$modification == 0 & x$design ==      ""sample_treatment"" & x$estimand == ""ATO""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3127","0.79","rescueCo/results/multiarm/designcmp_C1.rds","x$coverage[x$confounding == 2 & x$modification == 0 & x$design ==      ""generate_treatment"" & x$estimand == ""ATO""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3127","0.63","rescueCo/results/multiarm/designcmp_C1.rds","x$coverage[x$confounding == 2 & x$modification == 0 & x$design ==      ""sample_treatment"" & x$estimand == ""matched_ATT""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3128","0.86","rescueCo/results/multiarm/designcmp_C1.rds","x$coverage[x$confounding == 2 & x$modification == 0 & x$design ==      ""generate_treatment"" & x$estimand == ""matched_ATT""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
