"effect_size","candidate","bias","rmse","coverage","emp_sd","mean_se","n_converged","se_cal"
0.03,"glm_t01",-0.00211,0.01731,0.9,0.01763,0.01851,20,1.05
0.03,"glm_t05",0.00036,0.01449,0.95,0.01486,0.01676,20,1.128
0.03,"glm_t10",0.00043,0.01409,0.95,0.01445,0.01548,20,1.071
0.05,"glm_t01",-0.00299,0.01827,0.95,0.01849,0.01893,20,1.024
0.05,"glm_t05",-0.00047,0.01508,0.95,0.01547,0.01717,20,1.11
0.05,"glm_t10",-0.00027,0.01442,0.95,0.01479,0.01591,20,1.076
