"effect_size","candidate","bias","rmse","coverage","emp_sd","mean_se","n_converged","se_cal"
0.03,"glm_t01",-0.00211,0.0169,0.85,0.0172,0.01518,20,0.883
0.03,"glm_t05",-0.00211,0.0169,0.85,0.0172,0.01518,20,0.883
0.03,"glm_t10",-0.00211,0.0169,0.85,0.0172,0.01518,20,0.883
0.05,"glm_t01",-0.00324,0.0168,0.9,0.01692,0.01562,20,0.923
0.05,"glm_t05",-0.00324,0.0168,0.9,0.01692,0.01562,20,0.923
0.05,"glm_t10",-0.00324,0.0168,0.9,0.01692,0.01562,20,0.923
