"effect_size","candidate","bias","rmse","coverage","emp_sd","mean_se","n_converged","se_cal"
0.03,"glm_t01",0.00235,0.01636,0.9,0.01661,0.01386,20,0.834
0.03,"glm_t05",0.00235,0.01636,0.9,0.01661,0.01386,20,0.834
0.03,"glm_t10",0.00235,0.01636,0.9,0.01661,0.01386,20,0.834
0.05,"glm_t01",0.00186,0.01767,0.85,0.01803,0.01441,20,0.799
0.05,"glm_t05",0.00186,0.01767,0.85,0.01803,0.01441,20,0.799
0.05,"glm_t10",0.00186,0.01767,0.85,0.01803,0.01441,20,0.799
