"method","n_ok","mean_est","bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","coverage","ci_width"
"Crude",100,-0.01932,0.01047,0.01047,0.01474,0.01345,0.912,0.01802,0.84,0.05271
"IPTW",100,-0.03194,-0.00215,0.00215,0.01453,0.01376,0.947,0.01462,0.94,0.05393
"PS Match",100,-0.03323,-0.00344,0.00344,0.01595,0.01485,0.931,0.01623,0.94,0.05821
"TMLE",100,-0.03188,-0.00209,0.00209,0.01457,0.01363,0.935,0.01465,0.95,0.05341
"TMLE_CF",100,-0.03128,-0.00149,0.00149,0.01519,0.01366,0.9,0.01519,0.93,0.05356
"Match_TMLE",100,-0.03546,-0.00567,0.00567,0.01544,0.01561,1.011,0.01638,0.96,0.06118
