"method","n_ok","mean_est","bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","coverage","ci_width"
"Crude",100,-0.01019,0.02328,0.02328,0.01317,0.0144,1.094,0.02672,0.68,0.05646
"IPTW",100,-0.0248,0.00867,0.00867,0.01406,0.01481,1.054,0.01645,0.94,0.05807
"PS Match",100,-0.02545,0.00802,0.00802,0.01577,0.01565,0.993,0.01762,0.93,0.06134
"TMLE",100,-0.02478,0.00869,0.00869,0.01405,0.01465,1.043,0.01646,0.93,0.05743
"TMLE_CF",100,-0.02425,0.00922,0.00922,0.01421,0.0147,1.035,0.01688,0.94,0.05761
"Match_TMLE",100,-0.02817,0.0053,0.0053,0.01539,0.01657,1.077,0.0162,0.96,0.06495
