"method","n_ok","mean_est","bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","coverage","ci_width"
"Crude",100,0.00143,0.03122,0.03122,0.01511,0.01351,0.894,0.03465,0.38,0.05295
"IPTW",100,-0.03253,-0.00274,0.00274,0.02051,0.01994,0.972,0.02059,0.96,0.07818
"PS Match",100,-0.02667,0.00313,0.00313,0.01802,0.01715,0.952,0.0182,0.93,0.06721
"TMLE",100,-0.03149,-0.0017,0.0017,0.0186,0.01658,0.892,0.01858,0.92,0.06501
"TMLE_CF",100,-0.03067,-0.00087,0.00087,0.01893,0.01675,0.885,0.01886,0.93,0.06566
"Match_TMLE",100,-0.03005,-0.00026,0.00026,0.01556,0.02777,1.785,0.01548,0.99,0.10887
