"scenario","replicate","time_point","method","estimate","se","ci_lower","ci_upper","truth","bias","covers","runtime"
"simple",1,90,"TMLE",1.66982257091485e-09,0.000170833831021369,-0.000334832638979312,0.000334835978624454,0.00032726337689053,-0.00032726170706796,1,0.360000000000582
"simple",1,90,"TMLE-CF",3.23360464652806e-08,0.000236613914651169,-0.000463730936669826,0.000463795608762757,0.00032726337689053,-0.000327231040844065,1,0.590000000000146
"simple",1,90,"AIPW",-2.85982808360463e-07,0.000170833822666002,-0.000335120275233724,0.000334548309617003,0.00032726337689053,-0.000327549359698891,1,0.220000000001164
"simple",1,90,"IPTW",0,0,0,0,0.00032726337689053,-0.00032726337689053,0,0.110000000000582
"simple",1,90,"G-computation",-7.18936274582221e-26,5.64672241275446e-26,-1.82569386748209e-25,3.87821318317652e-26,0.00032726337689053,-0.00032726337689053,0,10.6200000000026
"simple",1,90,"Cox PH",NA,NA,NA,NA,0.00032726337689053,NA,NA,0.0800000000017462
"simple",1,180,"TMLE",1.15497348016821e-09,0.000351219602168863,-0.000688389265277491,0.000688391575224451,0.000374015287874892,-0.000374014132901412,1,0.150000000001455
"simple",1,180,"TMLE-CF",9.68886904840596e-08,0.0017268084354184,-0.00338444764472957,0.00338464142211054,0.000374015287874892,-0.000373918399184408,1,0.56000000000131
"simple",1,180,"AIPW",-8.69855415834938e-05,0.000351194245006008,-0.00077532626179527,0.000601355178628282,0.000374015287874892,-0.000461000829458386,1,0.110000000000582
"simple",1,180,"IPTW",0,0,0,0,0.000374015287874892,-0.000374015287874892,0,0
"simple",1,180,"G-computation",-7.18936274582221e-26,5.03944844576565e-26,-1.70666816995229e-25,2.68795620787845e-26,0.000374015287874892,-0.000374015287874892,0,11.25
"simple",1,180,"Cox PH",NA,NA,NA,NA,0.000374015287874892,NA,NA,0
"simple",2,90,"TMLE",0.00267166725088851,0.00232432037750892,-0.00188400068902897,0.00722733519080598,0.00032726337689053,0.00234440387399798,1,0.0600000000013097
"simple",2,90,"TMLE-CF",0.0120282445258199,0.0444960878606892,-0.0751840876811309,0.0992405767327707,0.00032726337689053,0.0117009811489294,1,0.340000000000146
"simple",2,90,"AIPW",9.90851331712081e-05,0.000163412513627117,-0.000221203393537941,0.000419373659880357,0.00032726337689053,-0.000228178243719322,1,0.0500000000029104
"simple",2,90,"IPTW",0.00775896081548522,0.00220027979016214,0.00344641242676742,0.012071509204203,0.00032726337689053,0.00743169743859469,0,0.0200000000004366
"simple",2,90,"G-computation",6.13463518065079e-07,3.2204427229918e-26,6.13463518065079e-07,6.13463518065079e-07,0.00032726337689053,-0.000326649913372465,0,9.67000000000189
"simple",2,90,"Cox PH",0,NA,NA,NA,0.00032726337689053,-0.00032726337689053,NA,0.75
"simple",2,180,"TMLE",0.002523444860133,0.00226489684279424,-0.0019157529517437,0.0069626426720097,0.000374015287874892,0.00214942957225811,1,0.069999999999709
"simple",2,180,"TMLE-CF",0.0177511244190869,0.0482709912196386,-0.0768600183714047,0.112362267209579,0.000374015287874892,0.017377109131212,1,0.279999999998836
"simple",2,180,"AIPW",0.000286781717935078,0.000257887564900094,-0.000218677909269107,0.000792241345139262,0.000374015287874892,-8.72335699398142e-05,1,0.0599999999976717
"simple",2,180,"IPTW",0.00775896081548522,0.00220027979016214,0.00344641242676742,0.012071509204203,0.000374015287874892,0.00738494552761032,0,0.0100000000020373
"simple",2,180,"G-computation",6.13463518065079e-07,3.31541694017442e-26,6.13463518065079e-07,6.13463518065079e-07,0.000374015287874892,-0.000373401824356827,0,9.94999999999709
"simple",2,180,"Cox PH",0,NA,NA,NA,0.000374015287874892,-0.000374015287874892,NA,0.770000000000437
"simple",3,90,"TMLE",-1.28318000109738e-10,0.000174185852689079,-0.000341404399588596,0.000341404142952595,0.00032726337689053,-0.000327263505208531,1,0.110000000000582
"simple",3,90,"TMLE-CF",1.06431445565665e-07,0.000374696369094896,-0.00073429845198043,0.000734511314871562,0.00032726337689053,-0.000327156945444965,1,0.380000000001019
"simple",3,90,"AIPW",-2.47904580593722e-05,0.000174181815150166,-0.000366186815753697,0.000316605899634952,0.00032726337689053,-0.000352053834949903,0,0.0600000000013097
"simple",3,90,"IPTW",0,0,0,0,0.00032726337689053,-0.00032726337689053,0,0.0200000000004366
"simple",3,90,"G-computation",-4.11974719142621e-26,5.1026387554076e-26,-1.41209191520251e-25,5.88142476917269e-26,0.00032726337689053,-0.00032726337689053,0,7.32999999999811
"simple",3,90,"Cox PH",0,NA,NA,NA,0.00032726337689053,-0.00032726337689053,NA,0.840000000000146
"simple",3,180,"TMLE",0.00295994274360989,0.00238206717545134,-0.00170890892027473,0.0076287944074945,0.000374015287874892,0.00258592745573499,1,0.0900000000001455
"simple",3,180,"TMLE-CF",-1.84773534534749e-07,0.146471872281915,-0.287085054446087,0.287084684899018,0.000374015287874892,-0.000374200061409427,1,0.390000000003056
"simple",3,180,"AIPW",7.46276260707346e-05,0.000334158304267207,-0.00058032265029299,0.00072957790243446,0.000374015287874892,-0.000299387661804157,1,0.069999999999709
"simple",3,180,"IPTW",0.01902717177866,0.00283819138147777,0.0134643166709635,0.0245900268863564,0.000374015287874892,0.0186531564907851,0,0.0200000000004366
"simple",3,180,"G-computation",6.88408498868837e-09,3.88912447207765e-26,6.88408498868837e-09,6.88408498868837e-09,0.000374015287874892,-0.000374008403789903,0,7.55999999999767
