"scenario","time_point","true_risk_1","true_risk_0","true_RD","true_RR"
"simple",90,0.00123892564108558,0.000911662264195049,0.00032726337689053,1.35897435897436
"simple",180,0.00187007643937446,0.00149606115149957,0.000374015287874892,1.25
"nonlinear",90,0.0116879777460904,0.00806470464480236,0.00362327310128802,1.44927536231884
"nonlinear",180,0.0160125295121438,0.0109866990813249,0.00502583043081886,1.45744680851064
"dep_censor",90,0.0112438345917389,0.00773744126791183,0.00350639332382711,1.45317220543807
"dep_censor",180,0.01500736342598,0.0104490521050048,0.00455831132097525,1.43624161073826
"switching",90,0.0116879777460904,0.00808808060029454,0.00359989714579583,1.44508670520231
"switching",180,0.0161294092896047,0.0111503307697702,0.0049790785198345,1.44654088050314
"np_hazard",90,0.00913999859744267,0.00776081722340401,0.00137918137403866,1.17771084337349
"np_hazard",180,0.0111737067252624,0.0102386685055752,0.000935038219687229,1.09132420091324
