"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"overlap_ok","Crude",10,10,10,0.161104,0.168434,0.051806,0.06283,0.4,0.1549
"overlap_ok","Adj. Regression",10,10,10,-0.005321,0.093791,0.098705,0.002141,0,0
"overlap_ok","IPTW",10,10,10,0.043265,0.123471,0.121898,0.099354,0.8,0.1265
"overlap_ok","PS-Matched",10,10,10,-0.004306,0.097418,0.102588,0.092839,0.9,0.0949
"overlap_ok","TMLE-GLM (IC)",10,10,10,-0.005315,0.129651,0.13655,0.08867,0.8,0.1265
"overlap_ok","TMLE-GLM (mult.boot)",10,10,10,-0.005315,0.129651,0.13655,0.089136,0.8,0.1265
"overlap_ok","TMLE-ML (IC)",10,10,10,0.008309,0.124593,0.13104,0.074769,0.7,0.1449
"overlap_ok","TMLE-ML (mult.boot)",10,10,10,0.008309,0.124593,0.13104,0.074775,0.7,0.1449
"overlap_ok","CV-TMLE-ML (IC)",10,10,10,0.033678,0.120577,0.122041,0.088276,0.7,0.1449
"overlap_ok","CV-TMLE-ML (mult.boot)",10,10,10,0.033678,0.120577,0.122041,0.089537,0.8,0.1265
