"method","n_ok","mean_est","bias","mc_se_bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","mc_se_rmse","coverage","mc_se_cov","ci_width"
"Crude",200,-0.01763,0.01216,0.00098,0.01216,0.01382,0.01348,0.975,0.01839,0.00088,0.85,0.0252,0.05283
"IPTW",200,-0.03041,-0.00061,0.00097,0.00061,0.01373,0.01377,1.003,0.01371,0.00066,0.95,0.0154,0.05399
"PS Match",200,-0.03123,-0.00144,0.00107,0.00144,0.01508,0.01486,0.986,0.01511,0.00071,0.955,0.0147,0.05826
"TMLE",200,-0.03041,-0.00061,0.00097,0.00061,0.01373,0.01364,0.994,0.01371,0.00066,0.955,0.0147,0.05348
"TMLE_CF",200,-0.02978,1e-05,0.00101,1e-05,0.01424,0.01369,0.961,0.01421,0.00071,0.94,0.0168,0.05368
"Match_TMLE",200,-0.03365,-0.00385,0.00103,0.00385,0.0146,0.01565,1.072,0.01506,7e-04,0.97,0.0121,0.06137
