"method","n_ok","mean_est","bias","mc_se_bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","mc_se_rmse","coverage","mc_se_cov","ci_width"
"Crude",200,0.01115,0.05302,0.00113,0.05302,0.01594,0.01625,1.019,0.05535,0.00112,0.1,0.0212,0.06369
"IPTW",200,-0.00491,0.03697,0.00117,0.03697,0.01649,0.01683,1.021,0.04046,0.00115,0.435,0.0351,0.06599
"PS Match",200,-0.00478,0.03709,0.00121,0.03709,0.01713,0.01765,1.03,0.04084,0.0012,0.445,0.0351,0.06918
"TMLE",200,-0.00486,0.03701,0.00116,0.03701,0.01635,0.01662,1.017,0.04045,0.00115,0.42,0.0349,0.06517
"TMLE_CF",200,-0.00437,0.0375,0.00119,0.0375,0.01682,0.01666,0.991,0.04109,0.00118,0.415,0.0348,0.06531
"Match_TMLE",200,-0.00802,0.03386,0.00119,0.03386,0.01688,0.01932,1.144,0.03781,0.00118,0.625,0.0342,0.07572
