"effect_size","candidate","bias","rmse","coverage","emp_sd","mean_se","n_converged","se_cal"
0.03,"aggressive",-0.00247,0.01761,0.967,0.01773,0.01749,30,0.986
0.03,"middle",-0.00247,0.01761,0.967,0.01773,0.01749,30,0.986
0.03,"robust",-0.00247,0.0176,0.967,0.01772,0.01749,30,0.987
0.05,"aggressive",-0.00344,0.0176,0.933,0.01756,0.01779,30,1.013
0.05,"middle",-0.00344,0.0176,0.933,0.01756,0.01779,30,1.013
0.05,"robust",-0.00346,0.0176,0.933,0.01756,0.0178,30,1.014
