"method","n_ok","mean_est","bias","mc_se_bias","abs_bias","emp_sd","mean_se","se_sd_ratio","rmse","mc_se_rmse","coverage","mc_se_cov","ci_width"
"Crude",200,0.00123,0.03102,0.00102,0.03102,0.01444,0.0135,0.935,0.0342,0.00097,0.39,0.0345,0.05293
"IPTW",200,-0.03346,-0.00367,0.00141,0.00367,0.01995,0.02025,1.015,0.02024,0.00106,0.96,0.0139,0.07937
"PS Match",200,-0.0277,0.00209,0.00122,0.00209,0.01732,0.0172,0.993,0.0174,0.00107,0.945,0.0161,0.06742
"TMLE",200,-0.03166,-0.00187,0.00128,0.00187,0.01815,0.01434,0.79,0.0182,0.00088,0.875,0.0234,0.05621
"TMLE_CF",200,-0.02818,0.00161,0.0013,0.00161,0.01835,0.01447,0.789,0.01838,0.00088,0.865,0.0242,0.05673
"Match_TMLE",200,-0.03175,-0.00195,0.00113,0.00195,0.01602,0.02326,1.452,0.0161,0.00098,0.995,0.005,0.09116
